年,区分00,区分01,国籍・地域,罪種00,罪種01,検挙人員,人数,検挙人員数_1万人あたり
2021,外国人,来日外国人以外,ブラジル,知能犯,計,15,101470,1.478269439243126
2021,外国人,来日外国人以外,ブラジル,窃盗犯,計,114,101470,11.234847738247758
2021,外国人,来日外国人以外,ブラジル,粗暴犯,計,113,101470,11.136296442298217
2021,外国人,来日外国人以外,ブラジル,計,計,313,101470,30.846555632206563
2021,外国人,来日外国人以外,ブラジル,風俗犯,計,7,101470,0.689859071646792
2021,外国人,来日外国人以外,ベトナム,その他の刑法犯,計,7,16802,4.166170693965004
2021,外国人,来日外国人以外,ベトナム,凶悪犯,不同意性交等,0,16802,0.0
2021,外国人,来日外国人以外,ベトナム,凶悪犯,強盗,2,16802,1.1903344839900012
2021,外国人,来日外国人以外,ベトナム,凶悪犯,放火,0,16802,0.0
2021,外国人,来日外国人以外,ベトナム,凶悪犯,殺人,0,16802,0.0
2021,外国人,来日外国人以外,ベトナム,凶悪犯,計,2,16802,1.1903344839900012
2021,外国人,来日外国人以外,ベトナム,知能犯,計,13,16802,7.737174145935008
2021,外国人,来日外国人以外,ベトナム,窃盗犯,計,49,16802,29.163194857755027
2021,外国人,来日外国人以外,ベトナム,粗暴犯,計,14,16802,8.332341387930008
2021,外国人,来日外国人以外,ベトナム,計,計,92,16802,54.75538626354005
2021,外国人,来日外国人以外,ベトナム,風俗犯,計,7,16802,4.166170693965004
2021,外国人,来日外国人以外,マレーシア,その他の刑法犯,計,0,2824,0.0
2021,外国人,来日外国人以外,マレーシア,凶悪犯,不同意性交等,0,2824,0.0
2021,外国人,来日外国人以外,マレーシア,凶悪犯,強盗,0,2824,0.0
2021,外国人,来日外国人以外,マレーシア,凶悪犯,放火,0,2824,0.0
2021,外国人,来日外国人以外,マレーシア,凶悪犯,殺人,0,2824,0.0
2021,外国人,来日外国人以外,マレーシア,凶悪犯,計,0,2824,0.0
2021,外国人,来日外国人以外,マレーシア,知能犯,計,1,2824,3.5410764872521248
2021,外国人,来日外国人以外,マレーシア,窃盗犯,計,1,2824,3.5410764872521248
2021,外国人,来日外国人以外,マレーシア,粗暴犯,計,1,2824,3.5410764872521248
2021,外国人,来日外国人以外,マレーシア,計,計,3,2824,10.623229461756376
2021,外国人,来日外国人以外,マレーシア,風俗犯,計,0,2824,0.0
2021,外国人,来日外国人以外,ロシア,その他の刑法犯,計,3,4069,7.3728188744163194
2021,外国人,来日外国人以外,ロシア,凶悪犯,不同意性交等,0,4069,0.0
2021,外国人,来日外国人以外,ロシア,凶悪犯,強盗,0,4069,0.0
2021,外国人,来日外国人以外,ロシア,凶悪犯,放火,0,4069,0.0
2021,外国人,来日外国人以外,ロシア,凶悪犯,殺人,0,4069,0.0
2021,外国人,来日外国人以外,ロシア,凶悪犯,計,0,4069,0.0
2021,外国人,来日外国人以外,ロシア,知能犯,計,0,4069,0.0
2021,外国人,来日外国人以外,ロシア,窃盗犯,計,5,4069,12.288031457360532
2021,外国人,来日外国人以外,ロシア,粗暴犯,計,11,4069,27.03366920619317
2021,外国人,来日外国人以外,ロシア,計,計,19,4069,46.694519537970024
2021,外国人,来日外国人以外,ロシア,風俗犯,計,0,4069,0.0
2021,外国人,来日外国人以外,中国,その他の刑法犯,計,96,266176,3.606636210627555
2021,外国人,来日外国人以外,中国,凶悪犯,不同意性交等,4,266176,0.15027650877614812
2021,外国人,来日外国人以外,中国,凶悪犯,強盗,12,266176,0.45082952632844436
2021,外国人,来日外国人以外,中国,凶悪犯,放火,0,266176,0.0
2021,外国人,来日外国人以外,中国,凶悪犯,殺人,3,266176,0.11270738158211109
2021,外国人,来日外国人以外,中国,凶悪犯,計,19,266176,0.7138134166867035
2021,外国人,来日外国人以外,中国,知能犯,計,46,266176,1.7281798509257034
2021,外国人,来日外国人以外,中国,窃盗犯,計,432,266176,16.229862947823996
2021,外国人,来日外国人以外,中国,粗暴犯,計,271,266176,10.181233469584035
2021,外国人,来日外国人以外,中国,計,計,880,266176,33.060831930752585
2021,外国人,来日外国人以外,中国,風俗犯,計,16,266176,0.6011060351045925
2021,外国人,来日外国人以外,韓国・朝鮮,その他の刑法犯,計,189,357663,5.28430393974216
2021,外国人,来日外国人以外,韓国・朝鮮,凶悪犯,不同意性交等,6,357663,0.1677556806267352
2021,外国人,来日外国人以外,韓国・朝鮮,凶悪犯,強盗,18,357663,0.5032670418802057
2021,外国人,来日外国人以外,韓国・朝鮮,凶悪犯,放火,5,357663,0.13979640052227935
2021,外国人,来日外国人以外,韓国・朝鮮,凶悪犯,殺人,8,357663,0.22367424083564696
2021,外国人,来日外国人以外,韓国・朝鮮,凶悪犯,計,37,357663,1.0344933638648672
2021,外国人,来日外国人以外,韓国・朝鮮,知能犯,計,93,357663,2.600213049714396
2021,外国人,来日外国人以外,韓国・朝鮮,窃盗犯,計,757,357663,21.165175039073095
2021,外国人,来日外国人以外,韓国・朝鮮,粗暴犯,計,479,357663,13.392495170034362
2021,外国人,来日外国人以外,韓国・朝鮮,計,計,1605,357663,44.87464456765167
2021,外国人,来日外国人以外,韓国・朝鮮,風俗犯,計,50,357663,1.3979640052227935
2022,外国人,来日外国人以外,その他,その他の刑法犯,計,28,98560,2.840909090909091
2022,外国人,来日外国人以外,その他,凶悪犯,不同意性交等,6,98560,0.6087662337662337
2022,外国人,来日外国人以外,その他,凶悪犯,強盗,2,98560,0.20292207792207792
2022,外国人,来日外国人以外,その他,凶悪犯,放火,0,98560,0.0
2022,外国人,来日外国人以外,その他,凶悪犯,殺人,0,98560,0.0
2022,外国人,来日外国人以外,その他,凶悪犯,計,8,98560,0.8116883116883117
2022,外国人,来日外国人以外,その他,知能犯,計,18,98560,1.8262987012987013
2022,外国人,来日外国人以外,その他,窃盗犯,計,101,98560,10.247564935064934
2022,外国人,来日外国人以外,その他,粗暴犯,計,107,98560,10.856331168831169
2022,外国人,来日外国人以外,その他,計,計,272,98560,27.5974025974026
2022,外国人,来日外国人以外,その他,風俗犯,計,10,98560,1.0146103896103897
2022,外国人,来日外国人以外,アメリカ,その他の刑法犯,計,8,19417,4.1201009424730906
2022,外国人,来日外国人以外,アメリカ,凶悪犯,不同意性交等,0,19417,0.0
2022,外国人,来日外国人以外,アメリカ,凶悪犯,強盗,0,19417,0.0
2022,外国人,来日外国人以外,アメリカ,凶悪犯,放火,0,19417,0.0
2022,外国人,来日外国人以外,アメリカ,凶悪犯,殺人,0,19417,0.0
2022,外国人,来日外国人以外,アメリカ,凶悪犯,計,0,19417,0.0
2022,外国人,来日外国人以外,アメリカ,知能犯,計,0,19417,0.0
2022,外国人,来日外国人以外,アメリカ,窃盗犯,計,10,19417,5.150126178091363
2022,外国人,来日外国人以外,アメリカ,粗暴犯,計,15,19417,7.725189267137045
2022,外国人,来日外国人以外,アメリカ,計,計,34,19417,17.510429005510638
2022,外国人,来日外国人以外,アメリカ,風俗犯,計,1,19417,0.5150126178091363
2022,外国人,来日外国人以外,イギリス,その他の刑法犯,計,1,6598,1.515610791148833
2022,外国人,来日外国人以外,イギリス,凶悪犯,不同意性交等,0,6598,0.0
2022,外国人,来日外国人以外,イギリス,凶悪犯,強盗,0,6598,0.0
2022,外国人,来日外国人以外,イギリス,凶悪犯,放火,0,6598,0.0
2022,外国人,来日外国人以外,イギリス,凶悪犯,殺人,0,6598,0.0
2022,外国人,来日外国人以外,イギリス,凶悪犯,計,0,6598,0.0
2022,外国人,来日外国人以外,イギリス,知能犯,計,1,6598,1.515610791148833
2022,外国人,来日外国人以外,イギリス,窃盗犯,計,2,6598,3.031221582297666
2022,外国人,来日外国人以外,イギリス,粗暴犯,計,3,6598,4.546832373446499
2022,外国人,来日外国人以外,イギリス,計,計,10,6598,15.15610791148833
2022,外国人,来日外国人以外,イギリス,風俗犯,計,3,6598,4.546832373446499
2022,外国人,来日外国人以外,イタリア,その他の刑法犯,計,1,1254,7.974481658692185
2022,外国人,来日外国人以外,イタリア,凶悪犯,不同意性交等,0,1254,0.0
2022,外国人,来日外国人以外,イタリア,凶悪犯,強盗,0,1254,0.0
2022,外国人,来日外国人以外,イタリア,凶悪犯,放火,0,1254,0.0
2022,外国人,来日外国人以外,イタリア,凶悪犯,殺人,0,1254,0.0
2022,外国人,来日外国人以外,イタリア,凶悪犯,計,0,1254,0.0
2022,外国人,来日外国人以外,イタリア,知能犯,計,0,1254,0.0
2022,外国人,来日外国人以外,イタリア,窃盗犯,計,0,1254,0.0
2022,外国人,来日外国人以外,イタリア,粗暴犯,計,1,1254,7.974481658692185
