年,区分00,区分01,在留資格,罪種00,罪種01,検挙人員,推定検挙人員,対推定値倍率,日本人_対推定値倍率,対日本人倍率_年齢調整後
2014,外国人,来日外国人,留学,凶悪犯,計,30.0,17.2996216645304,1.7341419703709084,0.971691131918229,1.7846637819442837
2014,外国人,来日外国人,留学,知能犯,計,78.0,42.702102987046594,1.8266079313157197,0.9696856097211438,1.883711496802561
2014,外国人,来日外国人,留学,窃盗犯,計,748.0,305.1027369210257,2.4516332024698158,0.9785787338827563,2.5052998982946897
2014,外国人,来日外国人,留学,粗暴犯,計,120.0,142.73540661400946,0.8407164196092465,0.9780454760518859,0.8595882708879745
2014,外国人,来日外国人,留学,風俗犯,計,19.0,18.517247156739508,1.0260704433641903,0.9891087977149516,1.0373686350122735
2014,外国人,来日外国人,短期滞在,その他の刑法犯,計,88.0,95.01450431578692,0.9261743839395956,0.9845809617785489,0.9406787454701058
2014,外国人,来日外国人,短期滞在,凶悪犯,計,14.0,11.337008541433711,1.2348936625419107,0.971691131918229,1.270870569852881
2014,外国人,来日外国人,短期滞在,知能犯,計,23.0,33.22784921707546,0.6921904529463354,0.9696856097211438,0.7138297670988345
2014,外国人,来日外国人,短期滞在,窃盗犯,計,233.0,238.56018545391524,0.9766927350289584,0.9785787338827563,0.9980727162889441
2014,外国人,来日外国人,短期滞在,粗暴犯,計,52.0,125.80850542285316,0.41332658571233755,0.9780454760518859,0.4226046700617941
2014,外国人,来日外国人,短期滞在,風俗犯,計,10.0,14.788861271036344,0.6761845835679572,0.9891087977149516,0.6836301376856471
2015,外国人,来日外国人,その他,その他の刑法犯,計,266.0,166.07807132415869,1.601656364859929,0.9797633476201807,1.6347379892810951
2015,外国人,来日外国人,その他,凶悪犯,計,37.0,22.00484648383184,1.6814477677536135,0.9685507698498127,1.7360450480198837
2015,外国人,来日外国人,その他,知能犯,計,80.0,63.61611827454747,1.257542933612277,0.9717977719592977,1.294037679338235
2015,外国人,来日外国人,その他,窃盗犯,計,669.0,370.7131994251251,1.8046295654900777,0.9768925384859262,1.8473163571164655
2015,外国人,来日外国人,その他,粗暴犯,計,320.0,231.05426768337816,1.3849560244371133,0.9748866577499337,1.4206328637563175
2015,外国人,来日外国人,その他,風俗犯,計,54.0,28.55514036574244,1.8910780794054063,0.9887561967984079,1.9125827838335843
2015,外国人,来日外国人,定住者,その他の刑法犯,計,191.0,67.36537628673834,2.8352843927868117,0.9797633476201807,2.8938461513932343
2015,外国人,来日外国人,定住者,凶悪犯,計,38.0,7.692645198434092,4.939783263075132,0.9685507698498127,5.100179997627913
2015,外国人,来日外国人,定住者,知能犯,計,63.0,20.979707472987435,3.002901736409627,0.9717977719592977,3.0900479740299294
2015,外国人,来日外国人,定住者,窃盗犯,計,532.0,162.2522620792949,3.278844887475309,0.9768925384859262,3.3564028368536327
2015,外国人,来日外国人,定住者,粗暴犯,計,371.0,80.14901731560549,4.628877713361111,0.9748866577499337,4.748118847010065
2015,外国人,来日外国人,定住者,風俗犯,計,12.0,9.54932853321954,1.2566328573004095,0.9887561967984079,1.270922863866124
2015,外国人,来日外国人,技能実習,その他の刑法犯,計,83.0,117.0224707496518,0.7092654895106713,0.9797633476201807,0.7239151079017789
2015,外国人,来日外国人,技能実習,凶悪犯,計,15.0,14.66284470259856,1.0229938531192169,0.9685507698498127,1.0562108719172731
2015,外国人,来日外国人,技能実習,知能犯,計,42.0,39.98333501849488,1.0504376380952787,0.9717977719592977,1.0809220481926303
2015,外国人,来日外国人,技能実習,窃盗犯,計,428.0,236.4775236887725,1.8098971662240924,0.9768925384859262,1.8527085579230955
2015,外国人,来日外国人,技能実習,粗暴犯,計,34.0,132.58804516816116,0.2564333757004854,0.9748866577499337,0.2630391683607005
2015,外国人,来日外国人,技能実習,風俗犯,計,2.0,17.22004356840092,0.11614372472727275,0.9887561967984079,0.11746447213513915
2015,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,計,117.0,53.08269184968898,2.2041082681206476,0.9797633476201807,2.2496333155086568
2015,外国人,来日外国人,日本人の配偶者等,凶悪犯,計,22.0,7.317102383443073,3.0066546628869046,0.9685507698498127,3.1042819400712762
2015,外国人,来日外国人,日本人の配偶者等,知能犯,計,148.0,22.876658099067257,6.4694764138663405,0.9717977719592977,6.657224991186031
2015,外国人,来日外国人,日本人の配偶者等,窃盗犯,計,349.0,133.14966221295748,2.621110667496962,0.9768925384859262,2.6831105410625713
2015,外国人,来日外国人,日本人の配偶者等,粗暴犯,計,274.0,87.99803154923826,3.1137060133747028,0.9748866577499337,3.193915916914101
2015,外国人,来日外国人,日本人の配偶者等,風俗犯,計,18.0,10.38910646453333,1.732584035157305,0.9887561967984079,1.7522863985757169
2015,外国人,来日外国人,留学,その他の刑法犯,計,323.0,165.6605514613927,1.9497701604311957,0.9797633476201807,1.990041947544921
2015,外国人,来日外国人,留学,凶悪犯,計,38.0,19.33559358201602,1.96528748077037,0.9685507698498127,2.0291011498293634
2015,外国人,来日外国人,留学,知能犯,計,72.0,50.56987233243744,1.4237726274388172,0.9717977719592977,1.4650914712103802
2015,外国人,来日外国人,留学,窃盗犯,計,917.0,336.6853227198303,2.7236114499801745,0.9768925384859262,2.7880358818191677
2015,外国人,来日外国人,留学,粗暴犯,計,178.0,164.78476033375853,1.0801969771930064,0.9748866577499337,1.1080231415682025
2015,外国人,来日外国人,留学,風俗犯,計,20.0,21.50651903305236,0.9299505870412101,0.9887561967984079,0.940525672610083
2015,外国人,来日外国人,短期滞在,その他の刑法犯,計,85.0,121.25653828487508,0.7009931274823674,0.9797633476201807,0.7154718832716709
2015,外国人,来日外国人,短期滞在,凶悪犯,計,17.0,15.009797645184062,1.1325935500172783,0.9685507698498127,1.1693693147266846
