年,罪種00,罪種01,罪種02,年齢層,検挙人員
2020,風俗犯,わいせつ,強制わいせつ,60~64歳,89
2020,風俗犯,わいせつ,公然わいせつ,60~64歳,87
2020,その他の刑法犯,占有離脱物横領,,60~64歳,577
2020,その他の刑法犯,公務執行妨害,,60~64歳,99
2020,その他の刑法犯,住居侵入,,60~64歳,136
2020,その他の刑法犯,逮捕監禁,,60~64歳,10
2020,その他の刑法犯,略取誘拐・人身売買,,60~64歳,3
2020,その他の刑法犯,盗品等,,60~64歳,24
2020,その他の刑法犯,器物損壊等,,60~64歳,215
2020,粗暴犯,傷害,その他,60~64歳,660
2020,知能犯,汚職,その他,60~64歳,1
2020,風俗犯,わいせつ,その他,60~64歳,28
2020,その他の刑法犯,その他,,60~64歳,207
2020,凶悪犯,殺人,殺人,65~69歳,33
2020,凶悪犯,殺人,嬰児殺,65~69歳,0
2020,凶悪犯,殺人,殺人予備,65~69歳,0
2020,凶悪犯,殺人,自殺関与,65~69歳,0
2020,凶悪犯,強盗,強盗殺人,65~69歳,1
2020,凶悪犯,強盗,強盗傷人,65~69歳,9
2020,凶悪犯,強盗,強盗・強制性交等,65~69歳,0
2020,凶悪犯,強盗,強盗・準強盗,65~69歳,27
2020,凶悪犯,放火,,65~69歳,32
2020,凶悪犯,強制性交等,,65~69歳,14
2020,粗暴犯,凶器準備集合,,65~69歳,0
2020,粗暴犯,暴行,,65~69歳,1373
