年,表示区分,国籍・地域,人口,総人口,構成比,構成比_pct
2024,定住者,アゼルバイジャン,1,221217,4.520448247648237e-06,0.0004520448247648237
2024,定住者,スロベニア,1,221217,4.520448247648237e-06,0.0004520448247648237
2024,定住者,セントビンセント,1,221217,4.520448247648237e-06,0.0004520448247648237
2024,定住者,ソロモン,1,221217,4.520448247648237e-06,0.0004520448247648237
2024,定住者,チャド,1,221217,4.520448247648237e-06,0.0004520448247648237
2024,定住者,ニジェール,1,221217,4.520448247648237e-06,0.0004520448247648237
2024,定住者,バヌアツ,1,221217,4.520448247648237e-06,0.0004520448247648237
2024,定住者,パラオ,1,221217,4.520448247648237e-06,0.0004520448247648237
2024,定住者,ルクセンブルク,1,221217,4.520448247648237e-06,0.0004520448247648237
2024,定住者,北マケドニア,1,221217,4.520448247648237e-06,0.0004520448247648237
2024,技能実習,ベトナム,203977,425714,0.47914092559793664,47.914092559793666
2024,技能実習,インドネシア,87090,425714,0.20457396280131732,20.457396280131732
2024,技能実習,フィリピン,37914,425714,0.08905979131529619,8.90597913152962
2024,技能実習,ミャンマー,31069,425714,0.07298092146370568,7.298092146370568
2024,技能実習,中国,26780,425714,0.06290608248730369,6.2906082487303685
2024,技能実習,カンボジア,14913,425714,0.03503056042319491,3.503056042319491
2024,技能実習,タイ,12025,425714,0.02824666325279413,2.8246663252794133
2024,技能実習,ネパール,2704,425714,0.006351682115222896,0.6351682115222896
2024,技能実習,モンゴル,2671,425714,0.006274165284674687,0.6274165284674688
2024,技能実習,スリランカ,2088,425714,0.004904701278323005,0.49047012783230054
2024,技能実習,ラオス,1436,425714,0.003373156626279615,0.3373156626279615
2024,技能実習,バングラデシュ,1410,425714,0.003312082759787087,0.3312082759787087
2024,技能実習,インド,884,425714,0.0020765114607459467,0.20765114607459467
2024,技能実習,ウズベキスタン,304,425714,0.0007140944389895564,0.07140944389895564
2024,技能実習,パキスタン,123,425714,0.00028892636840695864,0.028892636840695863
2024,技能実習,キルギス,83,425714,0.00019496657380306968,0.019496657380306967
2024,技能実習,マレーシア,54,425714,0.00012684572271525014,0.012684572271525014
