年,表示区分,年代,人数,総人数,構成比,構成比_pct
2017,留学,50代,172.46024131647567,295377.7276627671,0.0005838633897047702,0.05838633897047702
2017,留学,60代,30.434160232319066,295377.7276627671,0.00010303471583025299,0.010303471583025298
2017,留学,70代以上,5.072360038719881,295377.7276627671,1.7172452638375624e-05,0.0017172452638375625
2017,短期滞在,0~13歳,33243.314524751375,418319.2219890011,0.07946877116162127,7.946877116162127
2017,短期滞在,10代(14歳以上),20860.54316084301,418319.2219890011,0.049867522371208416,4.986752237120841
2017,短期滞在,20代,91704.05285450352,418319.2219890011,0.21922027015271772,21.922027015271773
2017,短期滞在,30代,98977.3198659872,418319.2219890011,0.23660715229717466,23.660715229717468
2017,短期滞在,40代,73697.10421332906,418319.2219890011,0.17617431937006897,17.6174319370069
2017,短期滞在,50代,57462.37967429626,418319.2219890011,0.13736490377152002,13.736490377152002
2017,短期滞在,60代,31673.585438175483,418319.2219890011,0.07571630413629016,7.571630413629016
2017,短期滞在,70代以上,10700.92225711517,418319.2219890011,0.025580756739398722,2.5580756739398725
2017,その他,0~13歳,65311.60066265993,515866.1255265488,0.12660571693091077,12.660571693091077
2017,その他,10代(14歳以上),12304.233632726193,515866.1255265488,0.02385160223530312,2.385160223530312
2017,その他,20代,168209.80186160663,515866.1255265488,0.32607258654542104,32.60725865454211
2017,その他,30代,179173.3192473458,515866.1255265488,0.3473252271884728,34.73252271884728
2017,その他,40代,62319.52674391228,515866.1255265488,0.12080561924918452,12.080561924918452
2017,その他,50代,19852.719068592756,515866.1255265488,0.03848424636979007,3.8484246369790074
2017,その他,60代,6049.918823196537,515866.1255265488,0.01172769159250636,1.172769159250636
2017,その他,70代以上,2645.005486508738,515866.1255265488,0.005127309888411377,0.5127309888411377
2018,日本人,0~13歳,14125113.712293807,124218000.0,0.11371229380841591,11.37122938084159
2018,日本人,10代(14歳以上),6899055.539901946,124218000.0,0.055539901945788415,5.553990194578842
2018,日本人,20代,11855095.43782252,124218000.0,0.09543782252026696,9.543782252026697
2018,日本人,30代,14174114.106764777,124218000.0,0.11410676477454779,11.410676477454778
2018,日本人,40代,18432148.38548669,124218000.0,0.1483854866886175,14.838548668861751
2018,日本人,50代,15783127.059903234,124218000.0,0.12705990323385688,12.705990323385688
2018,日本人,60代,16836135.537003793,124218000.0,0.13553700379175154,13.553700379175154
2018,日本人,70代以上,26113210.22082324,124218000.0,0.21022082323675506,21.022082323675505
2018,永住者等,0~13歳,96136.0,1121891.0,0.08569103415572457,8.569103415572457
2018,永住者等,10代(14歳以上),42586.0,1121891.0,0.03795912437126245,3.795912437126245
2018,永住者等,20代,86395.0,1121891.0,0.07700837247112242,7.700837247112243
2018,永住者等,30代,188580.0,1121891.0,0.1680911960252823,16.80911960252823
2018,永住者等,40代,260429.0,1121891.0,0.23213395953795868,23.213395953795867
2018,永住者等,50代,218149.0,1121891.0,0.19444758893689315,19.444758893689315
2018,永住者等,60代,126835.0,1121891.0,0.11305465504224564,11.305465504224564
2018,永住者等,70代以上,102781.0,1121891.0,0.09161406945951077,9.161406945951077
2018,定住者,0~13歳,44720.60243806528,187807.74007078254,0.2381190595297649,23.81190595297649
2018,定住者,10代(14歳以上),19525.61226897365,187807.74007078254,0.10396596147536133,10.396596147536133
2018,定住者,20代,35990.24537947306,187807.74007078254,0.1916334511341692,19.16334511341692
2018,定住者,30代,40801.94298073142,187807.74007078254,0.2172537881844148,21.72537881844148
2018,定住者,40代,27234.632717263077,187807.74007078254,0.14501336689850303,14.501336689850303
2018,定住者,50代,13456.185607550138,187807.74007078254,0.07164872758960125,7.164872758960125
2018,定住者,60代,4204.552890287062,187807.74007078254,0.022387537854948975,2.2387537854948976
2018,定住者,70代以上,1873.965788438852,187807.74007078254,0.009978107333236513,0.9978107333236513
2018,日本人の配偶者等,0~13歳,2199.7363292356727,145531.0,0.01511524231425382,1.511524231425382
2018,日本人の配偶者等,10代(14歳以上),1075.8580374756912,145531.0,0.007392638252164083,0.7392638252164083
2018,日本人の配偶者等,20代,19845.647217405345,145531.0,0.13636714663821004,13.636714663821003
2018,日本人の配偶者等,30代,52461.61695181797,145531.0,0.3604841370692015,36.04841370692015
2018,日本人の配偶者等,40代,36549.54375557256,145531.0,0.25114610464830556,25.114610464830555
2018,日本人の配偶者等,50代,21709.241766650983,145531.0,0.14917262828298428,14.917262828298428
2018,日本人の配偶者等,60代,9055.39390897156,145531.0,0.06222312709300122,6.222312709300122
2018,日本人の配偶者等,70代以上,2633.9620328702117,145531.0,0.018098975701879405,1.8098975701879405
2018,技能実習,0~13歳,0.0,292690.0,0.0,0.0
2018,技能実習,10代(14歳以上),12854.656059291192,292690.0,0.04391901349308549,4.391901349308549
2018,技能実習,20代,205739.02115643024,292690.0,0.7029246682716535,70.29246682716534
2018,技能実習,30代,64577.46584737697,292690.0,0.22063434298191592,22.06343429819159
2018,技能実習,40代,9187.01815407872,292690.0,0.0313882201444488,3.13882201444488
2018,技能実習,50代,331.8387828229097,292690.0,0.0011337551088964764,0.11337551088964765
2018,技能実習,60代,0.0,292690.0,0.0,0.0
2018,技能実習,70代以上,0.0,292690.0,0.0,0.0
2018,留学,0~13歳,68.85984363675604,328345.0,0.00020971796018442809,0.020971796018442807
2018,留学,10代(14歳以上),39735.1677126864,328345.0,0.12101651528936455,12.101651528936456
2018,留学,20代,261484.1171182285,328345.0,0.7963700288362195,79.63700288362196
2018,留学,30代,25449.788092337585,328345.0,0.07750929081404494,7.750929081404494
2018,留学,40代,1394.411833644312,328345.0,0.004246788693734676,0.4246788693734676
2018,留学,50代,176.2001881293464,328345.0,0.0005366312510601544,0.05366312510601544
2018,留学,60代,33.41727705901384,328345.0,0.00010177489244244268,0.010177489244244269
2018,留学,70代以上,3.0379342780921834,328345.0,9.25226294931302e-06,0.000925226294931302
2018,短期滞在,0~13歳,37841.19222085436,463805.5313993227,0.08158848840522824,8.158848840522824
