年,表示区分,罪種00,検挙人員,総検挙人員,構成比,構成比_pct
2019,来日外国人計,凶悪犯,157.0,5563.0,0.028222182275750494,2.8222182275750494
2019,来日外国人計,知能犯,457.0,5563.0,0.08214991910839475,8.214991910839476
2019,来日外国人計,窃盗犯,2528.0,5563.0,0.4544310623764156,45.44310623764156
2019,来日外国人計,粗暴犯,1342.0,5563.0,0.2412367427646953,24.12367427646953
2019,来日外国人計,風俗犯,148.0,5563.0,0.026604350170771167,2.6604350170771167
2019,永住者等,その他の刑法犯,492.0,3973.0,0.12383589227284168,12.383589227284169
2019,永住者等,凶悪犯,117.0,3973.0,0.029448779260005033,2.9448779260005034
2019,永住者等,知能犯,214.0,3973.0,0.05386357915932544,5.386357915932544
2019,永住者等,窃盗犯,1779.0,3973.0,0.44777246413289706,44.7772464132897
2019,永住者等,粗暴犯,1289.0,3973.0,0.32443996979612383,32.443996979612386
2019,永住者等,風俗犯,82.0,3973.0,0.020639315378806946,2.0639315378806944
2019,定住者,その他の刑法犯,109.0,932.0,0.11695278969957082,11.695278969957082
2019,定住者,凶悪犯,28.0,932.0,0.030042918454935622,3.004291845493562
2019,定住者,知能犯,48.0,932.0,0.05150214592274678,5.150214592274678
2019,定住者,窃盗犯,375.0,932.0,0.40236051502145925,40.236051502145926
2019,定住者,粗暴犯,350.0,932.0,0.37553648068669526,37.553648068669524
2019,定住者,風俗犯,22.0,932.0,0.023605150214592276,2.3605150214592276
2019,日本人の配偶者等,その他の刑法犯,70.0,678.0,0.10324483775811209,10.32448377581121
2019,日本人の配偶者等,凶悪犯,16.0,678.0,0.02359882005899705,2.359882005899705
2019,日本人の配偶者等,知能犯,67.0,678.0,0.09882005899705015,9.882005899705016
2019,日本人の配偶者等,窃盗犯,229.0,678.0,0.33775811209439527,33.775811209439524
2019,日本人の配偶者等,粗暴犯,275.0,678.0,0.4056047197640118,40.56047197640118
2019,日本人の配偶者等,風俗犯,21.0,678.0,0.030973451327433628,3.0973451327433628
