年,年代,滞在期間,人数
2022,35~39歳,5日以内,158060.0
2022,35~39歳,10日以内,73981.0
2022,35~39歳,15日以内,22671.0
2022,35~39歳,20日以内,6443.0
2022,35~39歳,1月以内,5912.0
2022,35~39歳,2月以内,3299.0
2022,35~39歳,3月以内,2706.0
2022,35~39歳,6月以内,386.0
2022,35~39歳,1年以内,31.0
2022,35~39歳,2年以内,128.0
2022,35~39歳,3年以内,271.0
2022,35~39歳,5年以内,527.0
2022,35~39歳,10年以内,389.0
2022,35~39歳,10年を超える,37.0
2022,35~39歳,不詳,6.0
2022,40~44歳,5日以内,143055.0
2022,40~44歳,10日以内,68361.0
2022,40~44歳,15日以内,20272.0
2022,40~44歳,20日以内,5495.0
2022,40~44歳,1月以内,4963.0
2022,40~44歳,2月以内,2746.0
2022,40~44歳,3月以内,2191.0
2022,40~44歳,6月以内,365.0
2022,40~44歳,1年以内,19.0
2022,40~44歳,2年以内,90.0
2022,40~44歳,3年以内,172.0
2022,40~44歳,5年以内,152.0
2022,40~44歳,10年以内,102.0
2022,40~44歳,10年を超える,17.0
2022,40~44歳,不詳,3.0
2022,45~49歳,5日以内,126271.0
2022,45~49歳,10日以内,59485.0
2022,45~49歳,15日以内,17636.0
2022,45~49歳,20日以内,4696.0
2022,45~49歳,1月以内,4010.0
2022,45~49歳,2月以内,2421.0
2022,45~49歳,3月以内,1725.0
2022,45~49歳,6月以内,340.0
2022,45~49歳,1年以内,22.0
2022,45~49歳,2年以内,53.0
2022,45~49歳,3年以内,123.0
2022,45~49歳,5年以内,66.0
2022,45~49歳,10年以内,35.0
2022,45~49歳,10年を超える,15.0
2022,45~49歳,不詳,7.0
2022,50~54歳,5日以内,124230.0
2022,50~54歳,10日以内,54812.0
2022,50~54歳,15日以内,16331.0
2022,50~54歳,20日以内,4320.0
2022,50~54歳,1月以内,4011.0
2022,50~54歳,2月以内,2380.0
2022,50~54歳,3月以内,1871.0
2022,50~54歳,6月以内,562.0
2022,50~54歳,1年以内,57.0
2022,50~54歳,2年以内,40.0
2022,50~54歳,3年以内,121.0
2022,50~54歳,5年以内,29.0
2022,50~54歳,10年以内,15.0
2022,50~54歳,10年を超える,8.0
2022,50~54歳,不詳,5.0
2022,55~59歳,5日以内,100416.0
2022,55~59歳,10日以内,46811.0
2022,55~59歳,15日以内,14554.0
2022,55~59歳,20日以内,4235.0
2022,55~59歳,1月以内,3913.0
2022,55~59歳,2月以内,2378.0
2022,55~59歳,3月以内,2015.0
2022,55~59歳,6月以内,808.0
2022,55~59歳,1年以内,94.0
2022,55~59歳,2年以内,32.0
2022,55~59歳,3年以内,216.0
2022,55~59歳,5年以内,29.0
2022,55~59歳,10年以内,13.0
2022,55~59歳,10年を超える,6.0
2022,55~59歳,不詳,1.0
2022,60~64歳,5日以内,80896.0
2022,60~64歳,10日以内,36954.0
2022,60~64歳,15日以内,12452.0
2022,60~64歳,20日以内,3950.0
2022,60~64歳,1月以内,3761.0
2022,60~64歳,2月以内,2408.0
2022,60~64歳,3月以内,1920.0
2022,60~64歳,6月以内,751.0
2022,60~64歳,1年以内,120.0
2022,60~64歳,2年以内,44.0
2022,60~64歳,3年以内,286.0
2022,60~64歳,5年以内,27.0
2022,60~64歳,10年以内,8.0
2022,60~64歳,10年を超える,6.0
2022,60~64歳,不詳,2.0
2022,65~69歳,5日以内,48360.0
2022,65~69歳,10日以内,23798.0
2022,65~69歳,15日以内,9041.0
2022,65~69歳,20日以内,3147.0
2022,65~69歳,1月以内,3043.0
2022,65~69歳,2月以内,2018.0
2022,65~69歳,3月以内,1483.0
2022,65~69歳,6月以内,548.0
2022,65~69歳,1年以内,64.0
2022,65~69歳,2年以内,21.0
2022,65~69歳,3年以内,348.0
2022,65~69歳,5年以内,34.0
2022,65~69歳,10年以内,8.0
2022,65~69歳,10年を超える,4.0
2022,65~69歳,不詳,1.0
2022,70歳以上,5日以内,39389.0
2022,70歳以上,10日以内,21014.0
2022,70歳以上,15日以内,10065.0
2022,70歳以上,20日以内,3590.0
2022,70歳以上,1月以内,3430.0
2022,70歳以上,2月以内,2278.0
2022,70歳以上,3月以内,1366.0
2022,70歳以上,6月以内,312.0
2022,70歳以上,1年以内,43.0
2022,70歳以上,2年以内,21.0
2022,70歳以上,3年以内,238.0
2022,70歳以上,5年以内,30.0
2022,70歳以上,10年以内,3.0
2022,70歳以上,10年を超える,
2022,70歳以上,不詳,2.0
