年,年代,罪種00,罪種01,検挙人員,人数,年代別検挙人員割合
2017,30代,凶悪犯,不同意性交等,239,15207355.653297298,1.5716078814016518e-05
2017,30代,凶悪犯,強盗,331,15207355.653297298,2.1765782792633755e-05
2017,30代,凶悪犯,放火,115,15207355.653297298,7.562129973271547e-06
2017,30代,凶悪犯,殺人,195,15207355.653297298,1.2822742128590884e-05
2017,30代,知能犯,,2494,15207355.653297298,0.00016399958394208033
2017,30代,窃盗犯,,11944,15207355.653297298,0.000785409394789177
2017,30代,粗暴犯,,10431,15207355.653297298,0.0006859180674017001
2017,30代,風俗犯,,1266,15207355.653297298,8.32491873579285e-05
2017,40代,その他の刑法犯,,4829,19048144.65632887,0.00025351550437724825
2017,40代,凶悪犯,不同意性交等,148,19048144.65632887,7.76978559698338e-06
2017,40代,凶悪犯,強盗,229,19048144.65632887,1.2022168254791851e-05
2017,40代,凶悪犯,放火,114,19048144.65632887,5.984834851730442e-06
2017,40代,凶悪犯,殺人,167,19048144.65632887,8.767258072271787e-06
2017,40代,知能犯,,2384,19048144.65632887,0.00012515654637302958
2017,40代,窃盗犯,,13993,19048144.65632887,0.0007346122287742461
2017,40代,粗暴犯,,11687,19048144.65632887,0.0006135505694050322
2017,40代,風俗犯,,1135,19048144.65632887,5.958585576064957e-05
2017,50代,その他の刑法犯,,3413,15850840.195228755,0.0002153198163607342
2017,50代,凶悪犯,不同意性交等,48,15850840.195228755,3.028230643221577e-06
2017,50代,凶悪犯,強盗,174,15850840.195228755,1.0977336081678216e-05
2017,50代,凶悪犯,放火,86,15850840.195228755,5.425579902438658e-06
2017,50代,凶悪犯,殺人,119,15850840.195228755,7.507488469653493e-06
2017,50代,知能犯,,1755,15850840.195228755,0.0001107196828927889
2017,50代,窃盗犯,,12435,15850840.195228755,0.0007845010010095898
2017,50代,粗暴犯,,6917,15850840.195228755,0.00043638065331590934
2017,50代,風俗犯,,653,15850840.195228755,4.119655437549353e-05
2017,60代,その他の刑法犯,,3289,17777555.7201753,0.0001850085608938577
2017,60代,凶悪犯,不同意性交等,37,17777555.7201753,2.0812759966776328e-06
2017,60代,凶悪犯,強盗,126,17777555.7201753,7.087588529226534e-06
2017,60代,凶悪犯,放火,73,17777555.7201753,4.106301290742357e-06
2017,60代,凶悪犯,殺人,87,17777555.7201753,4.893811127323083e-06
2017,60代,知能犯,,1203,17777555.7201753,6.766959524332953e-05
2017,60代,窃盗犯,,15559,17777555.7201753,0.0008752046819542511
2017,60代,粗暴犯,,5315,17777555.7201753,0.0002989724843876113
2017,60代,風俗犯,,402,17777555.7201753,2.2612782450389416e-05
2017,70代以上,その他の刑法犯,,2732,25252142.26271537,0.00010818884083485388
2017,70代以上,凶悪犯,不同意性交等,14,25252142.26271537,5.544084083777286e-07
2017,70代以上,凶悪犯,強盗,81,25252142.26271537,3.2076486484711437e-06
2017,70代以上,凶悪犯,放火,56,25252142.26271537,2.2176336335109143e-06
2017,70代以上,凶悪犯,殺人,96,25252142.26271537,3.8016576574472812e-06
2017,70代以上,知能犯,,541,25252142.26271537,2.1423924923739366e-05
2017,70代以上,窃盗犯,,24272,25252142.26271537,0.0009611857777245876
2017,70代以上,粗暴犯,,3615,25252142.26271537,0.00014315617116324918
2017,70代以上,風俗犯,,229,25252142.26271537,9.068537537035701e-06
2018,10代(14歳以上),その他の刑法犯,,4643,7050531.569474935,0.0006585319070269439
2018,10代(14歳以上),凶悪犯,不同意性交等,148,7050531.569474935,2.0991325057072516e-05
2018,10代(14歳以上),凶悪犯,強盗,269,7050531.569474935,3.8153151624003424e-05
2018,10代(14歳以上),凶悪犯,放火,37,7050531.569474935,5.247831264268129e-06
2018,10代(14歳以上),凶悪犯,殺人,34,7050531.569474935,4.822331432030172e-06
2018,10代(14歳以上),知能犯,,1219,7050531.569474935,0.00017289476516602295
2018,10代(14歳以上),窃盗犯,,13374,7050531.569474935,0.0018968782521168095
2018,10代(14歳以上),粗暴犯,,3685,7050531.569474935,0.0005226556272656231
2018,10代(14歳以上),風俗犯,,561,7050531.569474935,7.956846862849785e-05
2018,20代,その他の刑法犯,,7054,12759375.91029432,0.0005528483563454543
2018,20代,凶悪犯,不同意性交等,333,12759375.91029432,2.609845515495269e-05
2018,20代,凶悪犯,強盗,505,12759375.91029432,3.957873829805138e-05
2018,20代,凶悪犯,放火,97,12759375.91029432,7.602252702794027e-06
2018,20代,凶悪犯,殺人,169,12759375.91029432,1.32451619254865e-05
2018,20代,知能犯,,3009,12759375.91029432,0.00023582658126502297
