年,区分00,区分01,在留資格,罪種00,罪種01,推定検挙人員
2016,外国人,計,計,凶悪犯,強盗,65.75120152835035
2016,外国人,計,計,凶悪犯,放火,16.004585771694163
2016,外国人,計,計,凶悪犯,殺人,22.620783377118553
2016,日本人,計,計,凶悪犯,不同意性交等,842.808632106313
2016,日本人,計,計,凶悪犯,強盗,1918.2487984716497
2016,日本人,計,計,凶悪犯,放火,560.9954142283059
2016,日本人,計,計,凶悪犯,殺人,793.3792166228814
2017,外国人,計,計,凶悪犯,不同意性交等,37.50128989927661
2017,外国人,計,計,凶悪犯,強盗,61.74998178972152
2017,外国人,計,計,凶悪犯,放火,16.973016080806435
2017,外国人,計,計,凶悪犯,殺人,27.40084451277248
2017,日本人,計,計,凶悪犯,不同意性交等,872.4987101007233
2017,日本人,計,計,凶悪犯,強盗,1642.2500182102785
2017,日本人,計,計,凶悪犯,放火,562.0269839191935
2017,日本人,計,計,凶悪犯,殺人,846.5991554872276
2018,外国人,計,計,凶悪犯,不同意性交等,46.52000514634784
2018,外国人,計,計,凶悪犯,強盗,68.90543335187643
2018,外国人,計,計,凶悪犯,放火,17.107801053872013
2018,外国人,計,計,凶悪犯,殺人,27.99980343621702
2018,日本人,計,計,凶悪犯,不同意性交等,1041.4799948536522
2018,日本人,計,計,凶悪犯,強盗,1663.0945666481236
2018,日本人,計,計,凶悪犯,放火,519.892198946128
2018,日本人,計,計,凶悪犯,殺人,808.000196563783
2019,外国人,計,計,凶悪犯,不同意性交等,56.26248323080405
2019,外国人,計,計,凶悪犯,強盗,70.42422144322691
2019,外国人,計,計,凶悪犯,放火,17.826782589216393
2019,外国人,計,計,凶悪犯,殺人,34.2901301287505
2019,日本人,計,計,凶悪犯,不同意性交等,1121.737516769196
2019,日本人,計,計,凶悪犯,強盗,1533.575778556773
2019,日本人,計,計,凶悪犯,放火,501.1732174107836
2019,日本人,計,計,凶悪犯,殺人,889.7098698712495
2020,外国人,計,計,凶悪犯,不同意性交等,50.78623678630713
2020,外国人,計,計,凶悪犯,強盗,66.95617883936718
2020,外国人,計,計,凶悪犯,放火,18.646580086128484
2020,外国人,計,計,凶悪犯,殺人,29.49568932001585
2020,日本人,計,計,凶悪犯,不同意性交等,1126.2137632136928
2020,日本人,計,計,凶悪犯,強盗,1587.043821160633
2020,日本人,計,計,凶悪犯,放火,563.3534199138716
2020,日本人,計,計,凶悪犯,殺人,848.5043106799842
2021,外国人,計,計,凶悪犯,不同意性交等,51.80222206027397
2021,外国人,計,計,凶悪犯,強盗,58.08533558976814
2021,外国人,計,計,凶悪犯,放火,16.066156563583863
2021,外国人,計,計,凶悪犯,殺人,30.08249911989152
2021,日本人,計,計,凶悪犯,不同意性交等,1199.1977779397262
2021,日本人,計,計,凶悪犯,強盗,1401.9146644102318
2021,日本人,計,計,凶悪犯,放火,517.9338434364162
2021,日本人,計,計,凶悪犯,殺人,817.9175008801085
2022,外国人,計,計,凶悪犯,不同意性交等,58.54855438982103
2022,外国人,計,計,凶悪犯,強盗,52.35648201030349
2022,外国人,計,計,凶悪犯,放火,17.06346230094778
2022,外国人,計,計,凶悪犯,殺人,28.818506645452224
2022,日本人,計,計,凶悪犯,不同意性交等,1280.451445610179
2022,日本人,計,計,凶悪犯,強盗,1269.6435179896966
2022,日本人,計,計,凶悪犯,放火,514.9365376990522
2022,日本人,計,計,凶悪犯,殺人,756.1814933545478
2023,外国人,計,計,凶悪犯,不同意性交等,98.270819520766
2023,外国人,計,計,凶悪犯,強盗,77.13560748107616
2023,外国人,計,計,凶悪犯,放火,21.354725985880105
2023,外国人,計,計,凶悪犯,殺人,33.85246188215268
2023,日本人,計,計,凶悪犯,不同意性交等,1776.7291804792342
2023,日本人,計,計,凶悪犯,強盗,1523.8643925189238
2023,日本人,計,計,凶悪犯,放火,554.6452740141199
2023,日本人,計,計,凶悪犯,殺人,774.1475381178473
2024,外国人,計,計,凶悪犯,不同意性交等,196.2596901364265
2024,外国人,計,計,凶悪犯,強盗,97.79630676308643
2024,外国人,計,計,凶悪犯,放火,22.385740699148727
2024,外国人,計,計,凶悪犯,殺人,47.169904926559795
2024,日本人,計,計,凶悪犯,不同意性交等,2889.7403098635737
2024,日本人,計,計,凶悪犯,強盗,1682.2036932369138
2024,日本人,計,計,凶悪犯,放火,488.6142593008513
2024,日本人,計,計,凶悪犯,殺人,875.8300950734401
2013,外国人,来日外国人,計,計,計,3173.8189942048025
2013,外国人,永住者等,計,計,計,2191.2002004606547
2014,外国人,来日外国人,計,計,計,3257.933060083549
2014,外国人,永住者等,計,計,計,2139.627572410542
2015,外国人,来日外国人,計,計,計,3539.492731759262
2015,外国人,永住者等,計,計,計,2080.8581257021788
