年,区分00,区分01,在留資格,罪種00,罪種01,推定検挙人員
2020,外国人,来日外国人,短期滞在,知能犯,計,17.506470649345776
2020,外国人,来日外国人,短期滞在,窃盗犯,計,99.21832681035852
2020,外国人,来日外国人,短期滞在,粗暴犯,計,72.97139127519391
2020,外国人,来日外国人,短期滞在,風俗犯,計,8.364394209928694
2021,外国人,来日外国人,その他,その他の刑法犯,計,193.1536701817689
2021,外国人,来日外国人,その他,凶悪犯,計,45.6351306028293
2021,外国人,来日外国人,その他,知能犯,計,141.46473606137866
2021,外国人,来日外国人,その他,窃盗犯,計,503.2916214512363
2021,外国人,来日外国人,その他,粗暴犯,計,412.034775849554
2021,外国人,来日外国人,その他,風俗犯,計,53.867096267078686
2021,外国人,来日外国人,定住者,その他の刑法犯,計,43.23260049294401
2021,外国人,来日外国人,定住者,凶悪犯,計,8.971347817053218
2021,外国人,来日外国人,定住者,知能犯,計,27.091999644423623
2021,外国人,来日外国人,定住者,窃盗犯,計,119.3393797573029
2021,外国人,来日外国人,定住者,粗暴犯,計,86.20116705383357
2021,外国人,来日外国人,定住者,風俗犯,計,11.125043130588706
2021,外国人,来日外国人,技能実習,その他の刑法犯,計,120.29824299802706
2021,外国人,来日外国人,技能実習,凶悪犯,計,30.41792968923354
2021,外国人,来日外国人,技能実習,知能犯,計,97.54975520305565
2021,外国人,来日外国人,技能実習,窃盗犯,計,302.12717794130833
2021,外国人,来日外国人,技能実習,粗暴犯,計,239.37267251092982
2021,外国人,来日外国人,技能実習,風俗犯,計,32.146764202723745
2021,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,計,33.2848126089495
2021,外国人,来日外国人,日本人の配偶者等,凶悪犯,計,6.7767954335808085
2021,外国人,来日外国人,日本人の配偶者等,知能犯,計,20.780770115384893
2021,外国人,来日外国人,日本人の配偶者等,窃盗犯,計,97.18504428922111
2021,外国人,来日外国人,日本人の配偶者等,粗暴犯,計,75.9024393005852
2021,外国人,来日外国人,日本人の配偶者等,風俗犯,計,9.285535237998563
2021,外国人,来日外国人,留学,その他の刑法犯,計,82.46246386987184
2021,外国人,来日外国人,留学,凶悪犯,計,20.799814714778638
2021,外国人,来日外国人,留学,知能犯,計,67.29094303771024
2021,外国人,来日外国人,留学,窃盗犯,計,206.46491808496674
2021,外国人,来日外国人,留学,粗暴犯,計,153.0064286283773
2021,外国人,来日外国人,留学,風俗犯,計,20.8843572297019
2021,外国人,来日外国人,短期滞在,その他の刑法犯,計,15.305412132194448
2021,外国人,来日外国人,短期滞在,凶悪犯,計,3.3139741446815636
2021,外国人,来日外国人,短期滞在,知能犯,計,10.328337566577835
2021,外国人,来日外国人,短期滞在,窃盗犯,計,42.54066912774594
2021,外国人,来日外国人,短期滞在,粗暴犯,計,32.072962053385076
2021,外国人,来日外国人,短期滞在,風俗犯,計,4.068146708068434
2022,外国人,来日外国人,その他,その他の刑法犯,計,218.32343868812924
2022,外国人,来日外国人,その他,凶悪犯,計,48.82278739020277
2022,外国人,来日外国人,その他,知能犯,計,169.89016990332644
2022,外国人,来日外国人,その他,窃盗犯,計,542.6733725121359
2022,外国人,来日外国人,その他,粗暴犯,計,473.4880102117334
2022,外国人,来日外国人,その他,風俗犯,計,64.4093215933399
2022,外国人,来日外国人,定住者,その他の刑法犯,計,43.26685753188949
2022,外国人,来日外国人,定住者,凶悪犯,計,8.829795355505537
2022,外国人,来日外国人,定住者,知能犯,計,27.440104041168276
2022,外国人,来日外国人,定住者,窃盗犯,計,115.58342598317505
2022,外国人,来日外国人,定住者,粗暴犯,計,87.56011388313335
2022,外国人,来日外国人,定住者,風俗犯,計,11.577165727121505
2022,外国人,来日外国人,技能実習,その他の刑法犯,計,109.4568216363383
2022,外国人,来日外国人,技能実習,凶悪犯,計,25.508878267468805
2022,外国人,来日外国人,技能実習,知能犯,計,93.88579270357036
2022,外国人,来日外国人,技能実習,窃盗犯,計,261.5460048613578
2022,外国人,来日外国人,技能実習,粗暴犯,計,218.54267777506914
2022,外国人,来日外国人,技能実習,風俗犯,計,30.308256057513876
2022,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,計,32.761220621138385
2022,外国人,来日外国人,日本人の配偶者等,凶悪犯,計,6.512481204766141
2022,外国人,来日外国人,日本人の配偶者等,知能犯,計,21.107257465206192
2022,外国人,来日外国人,日本人の配偶者等,窃盗犯,計,92.34016864182558
2022,外国人,来日外国人,日本人の配偶者等,粗暴犯,計,77.17524310013951
2022,外国人,来日外国人,日本人の配偶者等,風俗犯,計,9.660293598402891
2022,外国人,来日外国人,留学,その他の刑法犯,計,93.02364190808966
2022,外国人,来日外国人,留学,凶悪犯,計,21.577802798531664
2022,外国人,来日外国人,留学,知能犯,計,78.99918773480877
2022,外国人,来日外国人,留学,窃盗犯,計,222.1753025613153
2022,外国人,来日外国人,留学,粗暴犯,計,171.282782107355
2022,外国人,来日外国人,留学,風俗犯,計,23.98412938863848
2022,外国人,来日外国人,短期滞在,その他の刑法犯,計,26.348630868765497
2022,外国人,来日外国人,短期滞在,凶悪犯,計,5.404952346715423
2022,外国人,来日外国人,短期滞在,知能犯,計,18.334745098678006
2022,外国人,来日外国人,短期滞在,窃盗犯,計,73.164384902655
2022,外国人,来日外国人,短期滞在,粗暴犯,計,56.53619168521153
2022,外国人,来日外国人,短期滞在,風俗犯,計,7.272596409185475
2023,外国人,来日外国人,その他,その他の刑法犯,計,271.9383347624087
2023,外国人,来日外国人,その他,凶悪犯,計,70.78643912541398
2023,外国人,来日外国人,その他,知能犯,計,180.42843534600573
2023,外国人,来日外国人,その他,窃盗犯,計,690.983271560326
2023,外国人,来日外国人,その他,粗暴犯,計,597.0077314749643
2023,外国人,来日外国人,その他,風俗犯,計,94.42261552814702
2023,外国人,来日外国人,定住者,その他の刑法犯,計,49.460274999748336
2023,外国人,来日外国人,定住者,凶悪犯,計,11.234232376024766
2023,外国人,来日外国人,定住者,知能犯,計,26.749471148175164
2023,外国人,来日外国人,定住者,窃盗犯,計,135.50390694446148
2023,外国人,来日外国人,定住者,粗暴犯,計,99.9318772421034
2023,外国人,来日外国人,定住者,風俗犯,計,15.148593296871045
2023,外国人,来日外国人,技能実習,その他の刑法犯,計,130.55076532609527
2023,外国人,来日外国人,技能実習,凶悪犯,計,34.11571137902458
2023,外国人,来日外国人,技能実習,知能犯,計,89.28376458520755
2023,外国人,来日外国人,技能実習,窃盗犯,計,323.0153633881618
2023,外国人,来日外国人,技能実習,粗暴犯,計,255.96937024687287
2023,外国人,来日外国人,技能実習,風俗犯,計,41.96585428194992
2023,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,計,35.03243035039873
2023,外国人,来日外国人,日本人の配偶者等,凶悪犯,計,8.095842172204629
2023,外国人,来日外国人,日本人の配偶者等,知能犯,計,20.281320809360103
2023,外国人,来日外国人,日本人の配偶者等,窃盗犯,計,100.33694155787927
2023,外国人,来日外国人,日本人の配偶者等,粗暴犯,計,84.55508144325327
2023,外国人,来日外国人,日本人の配偶者等,風俗犯,計,12.099211783666886
2023,外国人,来日外国人,留学,その他の刑法犯,計,117.43144648316087
2023,外国人,来日外国人,留学,凶悪犯,計,30.20431438522827
2023,外国人,来日外国人,留学,知能犯,計,79.66871253361502
2023,外国人,来日外国人,留学,窃盗犯,計,290.28394465253393
2023,外国人,来日外国人,留学,粗暴犯,計,214.93192720900092
2023,外国人,来日外国人,留学,風俗犯,計,35.67171791804755
2023,外国人,来日外国人,短期滞在,その他の刑法犯,計,115.75231002488086
2023,外国人,来日外国人,短期滞在,凶悪犯,計,26.569732584409913
2023,外国人,来日外国人,短期滞在,知能犯,計,66.82834871391006
2023,外国人,来日外国人,短期滞在,窃盗犯,計,332.1833714632768
2023,外国人,来日外国人,短期滞在,粗暴犯,計,247.58697114686683
2023,外国人,来日外国人,短期滞在,風俗犯,計,36.59359658067075
2024,外国人,来日外国人,その他,その他の刑法犯,計,341.1410595972812
2024,外国人,来日外国人,その他,凶悪犯,計,116.54591109788396
2024,外国人,来日外国人,その他,知能犯,計,206.18403243036002
2024,外国人,来日外国人,その他,窃盗犯,計,861.983340788063
2024,外国人,来日外国人,その他,粗暴犯,計,718.8802234513557
2024,外国人,来日外国人,その他,風俗犯,計,193.62775823723257
2024,外国人,来日外国人,定住者,その他の刑法犯,計,54.12564148857163
2024,外国人,来日外国人,定住者,凶悪犯,計,15.769075057711383
2024,外国人,来日外国人,定住者,知能犯,計,26.800530888313016
2024,外国人,来日外国人,定住者,窃盗犯,計,149.45627676084496
2024,外国人,来日外国人,定住者,粗暴犯,計,104.27236535353885
2024,外国人,来日外国人,定住者,風俗犯,計,26.773653101662127
2024,外国人,来日外国人,技能実習,その他の刑法犯,計,162.95999013293695
2024,外国人,来日外国人,技能実習,凶悪犯,計,57.128566752020795
2024,外国人,来日外国人,技能実習,知能犯,計,97.35888741687796
2024,外国人,来日外国人,技能実習,窃盗犯,計,399.0453579266641
2024,外国人,来日外国人,技能実習,粗暴犯,計,305.16624198242783
2024,外国人,来日外国人,技能実習,風俗犯,計,84.00809811735111
2024,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,計,36.65445267213614
2024,外国人,来日外国人,日本人の配偶者等,凶悪犯,計,10.66016685707867
2024,外国人,来日外国人,日本人の配偶者等,知能犯,計,20.264176776993626
2024,外国人,来日外国人,日本人の配偶者等,窃盗犯,計,105.43756197577744
2024,外国人,来日外国人,日本人の配偶者等,粗暴犯,計,84.75654158994296
2024,外国人,来日外国人,日本人の配偶者等,風俗犯,計,20.513980066297805
2024,外国人,来日外国人,留学,その他の刑法犯,計,149.98215830873838
2024,外国人,来日外国人,留学,凶悪犯,計,51.537429126462264
2024,外国人,来日外国人,留学,知能犯,計,85.43702293214082
2024,外国人,来日外国人,留学,窃盗犯,計,369.60636699082505
2024,外国人,来日外国人,留学,粗暴犯,計,260.3181589376271
2024,外国人,来日外国人,留学,風俗犯,計,72.09797888968724
2024,外国人,来日外国人,短期滞在,その他の刑法犯,計,161.34452833974885
2024,外国人,来日外国人,短期滞在,凶悪犯,計,47.63894377183012
2024,外国人,来日外国人,短期滞在,知能犯,計,85.56089935261792
2024,外国人,来日外国人,短期滞在,窃盗犯,計,461.42049652613315
2024,外国人,来日外国人,短期滞在,粗暴犯,計,329.87650539276905
2024,外国人,来日外国人,短期滞在,風俗犯,計,82.12768952079838
2013,外国人,来日外国人,その他,凶悪犯,不同意性交等,4.989783319126035
2013,外国人,来日外国人,その他,凶悪犯,強盗,9.83472444846996
2013,外国人,来日外国人,その他,凶悪犯,放火,2.0106008251566863
2013,外国人,来日外国人,その他,凶悪犯,殺人,3.384802752137819
2013,外国人,来日外国人,定住者,凶悪犯,不同意性交等,1.9548021837941485
2013,外国人,来日外国人,定住者,凶悪犯,強盗,4.505108810361234
2013,外国人,来日外国人,定住者,凶悪犯,放火,0.8275558277776168
2013,外国人,来日外国人,定住者,凶悪犯,殺人,1.2899428989685944
2013,外国人,来日外国人,技能実習,凶悪犯,不同意性交等,3.360197803684201
2013,外国人,来日外国人,技能実習,凶悪犯,強盗,6.648910215134079
2013,外国人,来日外国人,技能実習,凶悪犯,放火,1.0641560247833073
2013,外国人,来日外国人,技能実習,凶悪犯,殺人,1.897560710092889
2013,外国人,来日外国人,日本人の配偶者等,凶悪犯,不同意性交等,1.9987517918262816
2013,外国人,来日外国人,日本人の配偶者等,凶悪犯,強盗,3.8917230631918382
2013,外国人,来日外国人,日本人の配偶者等,凶悪犯,放火,0.966316668874231
2013,外国人,来日外国人,日本人の配偶者等,凶悪犯,殺人,1.60860741159779
2013,外国人,来日外国人,留学,凶悪犯,不同意性交等,4.000248521589349
2013,外国人,来日外国人,留学,凶悪犯,強盗,8.274376393509156
2013,外国人,来日外国人,留学,凶悪犯,放火,1.2194428716126562
2013,外国人,来日外国人,留学,凶悪犯,殺人,2.154849364582969
2013,外国人,来日外国人,短期滞在,凶悪犯,不同意性交等,2.1217612680510944
2013,外国人,来日外国人,短期滞在,凶悪犯,強盗,4.514669560445101
2013,外国人,来日外国人,短期滞在,凶悪犯,放火,1.0378533014106062
2013,外国人,来日外国人,短期滞在,凶悪犯,殺人,1.689867121449216
2014,外国人,来日外国人,その他,凶悪犯,不同意性交等,5.146367724112852
2014,外国人,来日外国人,その他,凶悪犯,強盗,9.5556654797605
2014,外国人,来日外国人,その他,凶悪犯,放火,2.1882670384086627
2014,外国人,来日外国人,その他,凶悪犯,殺人,3.6723515866358705
2014,外国人,来日外国人,定住者,凶悪犯,不同意性交等,1.882837384147256
2014,外国人,来日外国人,定住者,凶悪犯,強盗,4.024238567997473
2014,外国人,来日外国人,定住者,凶悪犯,放火,0.9005817858687073
2014,外国人,来日外国人,定住者,凶悪犯,殺人,1.3104073838136738
2014,外国人,来日外国人,技能実習,凶悪犯,不同意性交等,3.5683348796671885
2014,外国人,来日外国人,技能実習,凶悪犯,強盗,6.645576506531773
2014,外国人,来日外国人,技能実習,凶悪犯,放火,1.161583869440097
2014,外国人,来日外国人,技能実習,凶悪犯,殺人,2.0260205444499575
2014,外国人,来日外国人,日本人の配偶者等,凶悪犯,不同意性交等,1.8168031083674483
2014,外国人,来日外国人,日本人の配偶者等,凶悪犯,強盗,3.3980675398220805
2014,外国人,来日外国人,日本人の配偶者等,凶悪犯,放火,0.9792984888972969
2014,外国人,来日外国人,日本人の配偶者等,凶悪犯,殺人,1.6012380316611088
2014,外国人,来日外国人,留学,凶悪犯,不同意性交等,4.56647437867211
2014,外国人,来日外国人,留学,凶悪犯,強盗,8.905392891407198
2014,外国人,来日外国人,留学,凶悪犯,放火,1.4388699314881812
2014,外国人,来日外国人,留学,凶悪犯,殺人,2.388884462962909
2014,外国人,来日外国人,短期滞在,凶悪犯,不同意性交等,2.5718438152788834
2014,外国人,来日外国人,短期滞在,凶悪犯,強盗,5.197599940477231
2014,外国人,来日外国人,短期滞在,凶悪犯,放火,1.3893227991446053
2014,外国人,来日外国人,短期滞在,凶悪犯,殺人,2.1782419865329916
2015,外国人,来日外国人,その他,凶悪犯,不同意性交等,5.880363179054468
2015,外国人,来日外国人,その他,凶悪犯,強盗,9.862768290396343
2015,外国人,来日外国人,その他,凶悪犯,放火,2.423590787745528
2015,外国人,来日外国人,その他,凶悪犯,殺人,3.8381242266355007
2015,外国人,来日外国人,定住者,凶悪犯,不同意性交等,1.8540798198602066
2015,外国人,来日外国人,定住者,凶悪犯,強盗,3.7226213039152616
2015,外国人,来日外国人,定住者,凶悪犯,放火,0.842863552457547
2015,外国人,来日外国人,定住者,凶悪犯,殺人,1.273080522201077
2015,外国人,来日外国人,技能実習,凶悪犯,不同意性交等,4.176101279011313
2015,外国人,来日外国人,技能実習,凶悪犯,強盗,6.940736861747605
2015,外国人,来日外国人,技能実習,凶悪犯,放火,1.4839851471450574
2015,外国人,来日外国人,技能実習,凶悪犯,殺人,2.062021414694585
2015,外国人,来日外国人,日本人の配偶者等,凶悪犯,不同意性交等,1.814449740973036
2015,外国人,来日外国人,日本人の配偶者等,凶悪犯,強盗,3.0809831383643305
2015,外国人,来日外国人,日本人の配偶者等,凶悪犯,放火,0.9200117952033543
2015,外国人,来日外国人,日本人の配偶者等,凶悪犯,殺人,1.5016577089023524
2015,外国人,来日外国人,留学,凶悪犯,不同意性交等,5.439858377227959
2015,外国人,来日外国人,留学,凶悪犯,強盗,9.563720537854328
2015,外国人,来日外国人,留学,凶悪犯,放火,1.9006267204287617
2015,外国人,来日外国人,留学,凶悪犯,殺人,2.431387946504973
2015,外国人,来日外国人,短期滞在,凶悪犯,不同意性交等,3.6398219354253665
2015,外国人,来日外国人,短期滞在,凶悪犯,強盗,6.724832568596056
2015,外国人,来日外国人,短期滞在,凶悪犯,放火,1.8465546662931438
2015,外国人,来日外国人,短期滞在,凶悪犯,殺人,2.7985884748694967
2016,外国人,来日外国人,その他,凶悪犯,不同意性交等,6.294329720187914
2016,外国人,来日外国人,その他,凶悪犯,強盗,12.051355674124856
2016,外国人,来日外国人,その他,凶悪犯,放火,2.7018053876269175
2016,外国人,来日外国人,その他,凶悪犯,殺人,4.077104842328047
2016,外国人,来日外国人,定住者,凶悪犯,不同意性交等,1.805032562724802
2016,外国人,来日外国人,定住者,凶悪犯,強盗,3.782299094347516
2016,外国人,来日外国人,定住者,凶悪犯,放火,0.8562410632118393
2016,外国人,来日外国人,定住者,凶悪犯,殺人,1.1903152714737435
2016,外国人,来日外国人,技能実習,凶悪犯,不同意性交等,4.33676927146979
2016,外国人,来日外国人,技能実習,凶悪犯,強盗,8.572084952235798
2016,外国人,来日外国人,技能実習,凶悪犯,放火,1.7041619635303955
2016,外国人,来日外国人,技能実習,凶悪犯,殺人,2.38866032390033
2016,外国人,来日外国人,日本人の配偶者等,凶悪犯,不同意性交等,1.6414219357913467
2016,外国人,来日外国人,日本人の配偶者等,凶悪犯,強盗,3.158574624689289
2016,外国人,来日外国人,日本人の配偶者等,凶悪犯,放火,0.8597480836431737
2016,外国人,来日外国人,日本人の配偶者等,凶悪犯,殺人,1.2998996941697152
2016,外国人,来日外国人,留学,凶悪犯,不同意性交等,5.533654220369169
2016,外国人,来日外国人,留学,凶悪犯,強盗,11.42514249540114
2016,外国人,来日外国人,留学,凶悪犯,放火,2.173611998265454
2016,外国人,来日外国人,留学,凶悪犯,殺人,2.8422214784037387
2016,外国人,来日外国人,短期滞在,凶悪犯,不同意性交等,4.0756225306055756
2016,外国人,来日外国人,短期滞在,凶悪犯,強盗,8.367620966437038
2016,外国人,来日外国人,短期滞在,凶悪犯,放火,2.1283846477803965
2016,外国人,来日外国人,短期滞在,凶悪犯,殺人,3.016685098667969
2017,外国人,来日外国人,その他,凶悪犯,不同意性交等,7.7212934749631295
2017,外国人,来日外国人,その他,凶悪犯,強盗,11.904198598114123
2017,外国人,来日外国人,その他,凶悪犯,放火,3.120671213731797
2017,外国人,来日外国人,その他,凶悪犯,殺人,5.265803618994336
2017,外国人,来日外国人,定住者,凶悪犯,不同意性交等,1.9707798070441238
2017,外国人,来日外国人,定住者,凶悪犯,強盗,3.330731204090512
2017,外国人,来日外国人,定住者,凶悪犯,放火,0.8828683884658828
2017,外国人,来日外国人,定住者,凶悪犯,殺人,1.3849948936062615
2017,外国人,来日外国人,技能実習,凶悪犯,不同意性交等,5.594121267028998
2017,外国人,来日外国人,技能実習,凶悪犯,強盗,8.770331663337624
2017,外国人,来日外国人,技能実習,凶悪犯,放火,1.8233376219678465
2017,外国人,来日外国人,技能実習,凶悪犯,殺人,3.1964964056154246
2017,外国人,来日外国人,日本人の配偶者等,凶悪犯,不同意性交等,1.6962937428125746
2017,外国人,来日外国人,日本人の配偶者等,凶悪犯,強盗,2.6840708104806272
2017,外国人,来日外国人,日本人の配偶者等,凶悪犯,放火,0.9103560459874545
2017,外国人,来日外国人,日本人の配偶者等,凶悪犯,殺人,1.4558910811055665
2017,外国人,来日外国人,留学,凶悪犯,不同意性交等,6.736398114895219
2017,外国人,来日外国人,留学,凶悪犯,強盗,10.96766332656884
2017,外国人,来日外国人,留学,凶悪犯,放火,2.056109816027634
2017,外国人,来日外国人,留学,凶悪犯,殺人,3.5592290199281664
2017,外国人,来日外国人,短期滞在,凶悪犯,不同意性交等,4.959499095807478
2017,外国人,来日外国人,短期滞在,凶悪犯,強盗,8.27051968086661
2017,外国人,来日外国人,短期滞在,凶悪犯,放火,2.4299320860468576
2017,外国人,来日外国人,短期滞在,凶悪犯,殺人,3.8528389496516042
2018,外国人,来日外国人,その他,凶悪犯,不同意性交等,9.830190349729865
2018,外国人,来日外国人,その他,凶悪犯,強盗,13.916144080935204
2018,外国人,来日外国人,その他,凶悪犯,放火,3.217114829901697
2018,外国人,来日外国人,その他,凶悪犯,殺人,5.529790581794135
2018,外国人,来日外国人,定住者,凶悪犯,不同意性交等,2.453584100190502
2018,外国人,来日外国人,定住者,凶悪犯,強盗,3.64094769426735
2018,外国人,来日外国人,定住者,凶悪犯,放火,0.8524405165403474
2018,外国人,来日外国人,定住者,凶悪犯,殺人,1.3609711518278633
2018,外国人,来日外国人,技能実習,凶悪犯,不同意性交等,6.895660939809644
2018,外国人,来日外国人,技能実習,凶悪犯,強盗,10.193167385042045
2018,外国人,来日外国人,技能実習,凶悪犯,放火,2.0472004428683808
2018,外国人,来日外国人,技能実習,凶悪犯,殺人,3.5313730503532765
2018,外国人,来日外国人,日本人の配偶者等,凶悪犯,不同意性交等,2.0089249380226835
2018,外国人,来日外国人,日本人の配偶者等,凶悪犯,強盗,2.8144317977509297
2018,外国人,来日外国人,日本人の配偶者等,凶悪犯,放火,0.8175579255616626
2018,外国人,来日外国人,日本人の配偶者等,凶悪犯,殺人,1.3512909022887316
2018,外国人,来日外国人,留学,凶悪犯,不同意性交等,8.129980427618268
2018,外国人,来日外国人,留学,凶悪犯,強盗,12.449038813154162
2018,外国人,来日外国人,留学,凶悪犯,放火,2.34883799234312
2018,外国人,来日外国人,留学,凶悪犯,殺人,3.9280479538201343
2018,外国人,来日外国人,短期滞在,凶悪犯,不同意性交等,6.3831904308263425
2018,外国人,来日外国人,短期滞在,凶悪犯,強盗,9.431209496925623
2018,外国人,来日外国人,短期滞在,凶悪犯,放火,2.479789023233784
2018,外国人,来日外国人,短期滞在,凶悪犯,殺人,4.008422176337862
2019,外国人,来日外国人,その他,凶悪犯,不同意性交等,12.330102263187042
2019,外国人,来日外国人,その他,凶悪犯,強盗,14.502624068885694
2019,外国人,来日外国人,その他,凶悪犯,放火,3.482247427948196
2019,外国人,来日外国人,その他,凶悪犯,殺人,7.2023606120206205
2019,外国人,来日外国人,定住者,凶悪犯,不同意性交等,2.8351091397950072
2019,外国人,来日外国人,定住者,凶悪犯,強盗,3.594917755535039
2019,外国人,来日外国人,定住者,凶悪犯,放火,0.8563639088754844
2019,外国人,来日外国人,定住者,凶悪犯,殺人,1.6809332254868272
2019,外国人,来日外国人,技能実習,凶悪犯,不同意性交等,10.039432955084846
2019,外国人,来日外国人,技能実習,凶悪犯,強盗,12.724443699814856
2019,外国人,来日外国人,技能実習,凶悪犯,放火,2.5773644146488475
2019,外国人,来日外国人,技能実習,凶悪犯,殺人,5.1459462117294015
2019,外国人,来日外国人,日本人の配偶者等,凶悪犯,不同意性交等,2.1869663040755043
2019,外国人,来日外国人,日本人の配偶者等,凶悪犯,強盗,2.4862915383406095
2019,外国人,来日外国人,日本人の配偶者等,凶悪犯,放火,0.7794432168579295
2019,外国人,来日外国人,日本人の配偶者等,凶悪犯,殺人,1.5397745344800835
2019,外国人,来日外国人,留学,凶悪犯,不同意性交等,9.564823487892658
2019,外国人,来日外国人,留学,凶悪犯,強盗,12.810346490702955
2019,外国人,来日外国人,留学,凶悪犯,放火,2.3897137581765433
2019,外国人,来日外国人,留学,凶悪犯,殺人,4.597147790602701
2019,外国人,来日外国人,短期滞在,凶悪犯,不同意性交等,7.576981125559234
2019,外国人,来日外国人,短期滞在,凶悪犯,強盗,9.38564508322362
2019,外国人,来日外国人,短期滞在,凶悪犯,放火,2.5798177878124338
2019,外国人,来日外国人,短期滞在,凶悪犯,殺人,4.894083235998713
2020,外国人,来日外国人,その他,凶悪犯,不同意性交等,13.495325363159536
2020,外国人,来日外国人,その他,凶悪犯,強盗,16.526082035533896
2020,外国人,来日外国人,その他,凶悪犯,放火,4.385453812741097
2020,外国人,来日外国人,その他,凶悪犯,殺人,7.237874839187829
2020,外国人,来日外国人,定住者,凶悪犯,不同意性交等,2.8947349771114257
2020,外国人,来日外国人,定住者,凶悪犯,強盗,3.9396057796956985
2020,外国人,来日外国人,定住者,凶悪犯,放火,1.023181970967172
2020,外国人,来日外国人,定住者,凶悪犯,殺人,1.628572507158144
2020,外国人,来日外国人,技能実習,凶悪犯,不同意性交等,10.484003667189013
2020,外国人,来日外国人,技能実習,凶悪犯,強盗,14.739856436387218
2020,外国人,来日外国人,技能実習,凶悪犯,放火,3.232802911609628
2020,外国人,来日外国人,技能実習,凶悪犯,殺人,5.275700472369021
2020,外国人,来日外国人,日本人の配偶者等,凶悪犯,不同意性交等,2.240638597863512
2020,外国人,来日外国人,日本人の配偶者等,凶悪犯,強盗,2.4567228387675497
2020,外国人,来日外国人,日本人の配偶者等,凶悪犯,放火,0.9013907988617302
2020,外国人,来日外国人,日本人の配偶者等,凶悪犯,殺人,1.426201432602281
2020,外国人,来日外国人,留学,凶悪犯,不同意性交等,7.492234806823384
2020,外国人,来日外国人,留学,凶悪犯,強盗,11.482389665437337
2020,外国人,来日外国人,留学,凶悪犯,放火,2.3022653401021733
2020,外国人,来日外国人,留学,凶悪犯,殺人,3.6955835819925413
2020,外国人,来日外国人,短期滞在,凶悪犯,不同意性交等,2.2092957418831247
2020,外国人,来日外国人,短期滞在,凶悪犯,強盗,2.866422110604867
2020,外国人,来日外国人,短期滞在,凶悪犯,放火,0.8226088622037242
2020,外国人,来日外国人,短期滞在,凶悪犯,殺人,1.2964837744042041
2021,外国人,来日外国人,その他,凶悪犯,不同意性交等,15.701481204704052
2021,外国人,来日外国人,その他,凶悪犯,強盗,17.020274149912268
2021,外国人,来日外国人,その他,凶悪犯,放火,4.323587400118448
2021,外国人,来日外国人,その他,凶悪犯,殺人,8.589787848094529
2021,外国人,来日外国人,定住者,凶悪犯,不同意性交等,3.0368762079997675
2021,外国人,来日外国人,定住者,凶悪犯,強盗,3.3632182977991034
2021,外国人,来日外国人,定住者,凶悪犯,放火,0.9249270438965688
2021,外国人,来日外国人,定住者,凶悪犯,殺人,1.6463262673577772
2021,外国人,来日外国人,技能実習,凶悪犯,不同意性交等,10.160890443725462
2021,外国人,来日外国人,技能実習,凶悪犯,強盗,12.238640284010895
2021,外国人,来日外国人,技能実習,凶悪犯,放火,2.4566389277744998
2021,外国人,来日外国人,技能実習,凶悪犯,殺人,5.56176003372268
2021,外国人,来日外国人,日本人の配偶者等,凶悪犯,不同意性交等,2.312588250543551
2021,外国人,来日外国人,日本人の配偶者等,凶悪犯,強盗,2.2294146086953086
2021,外国人,来日外国人,日本人の配偶者等,凶悪犯,放火,0.8402811184079314
2021,外国人,来日外国人,日本人の配偶者等,凶悪犯,殺人,1.3945114559340173
2021,外国人,来日外国人,留学,凶悪犯,不同意性交等,6.81305909686723
2021,外国人,来日外国人,留学,凶悪犯,強盗,8.73492241685881
2021,外国人,来日外国人,留学,凶悪犯,放火,1.5568892091550188
2021,外国人,来日外国人,留学,凶悪犯,殺人,3.694943991897579
2021,外国人,来日外国人,短期滞在,凶悪犯,不同意性交等,1.1094068759563078
2021,外国人,来日外国人,短期滞在,凶悪犯,強盗,1.218206826554756
2021,外国人,来日外国人,短期滞在,凶悪犯,放火,0.3481412151798653
2021,外国人,来日外国人,短期滞在,凶悪犯,殺人,0.6382192269906347
2022,外国人,来日外国人,その他,凶悪犯,不同意性交等,18.900907167508034
2022,外国人,来日外国人,その他,凶悪犯,強盗,15.99714643191979
2022,外国人,来日外国人,その他,凶悪犯,放火,4.906949960176064
2022,外国人,来日外国人,その他,凶悪犯,殺人,9.01778383059888
2022,外国人,来日外国人,定住者,凶悪犯,不同意性交等,3.2791117311276454
2022,外国人,来日外国人,定住者,凶悪犯,強盗,3.014753042179153
2022,外国人,来日外国人,定住者,凶悪犯,放火,0.9702195294564959
2022,外国人,来日外国人,定住者,凶悪犯,殺人,1.5657110527422429
2022,外国人,来日外国人,技能実習,凶悪犯,不同意性交等,9.999706110552433
2022,外国人,来日外国人,技能実習,凶悪犯,強盗,9.01830365744696
2022,外国人,来日外国人,技能実習,凶悪犯,放火,2.1940337874639253
2022,外国人,来日外国人,技能実習,凶悪犯,殺人,4.296834712005485
2022,外国人,来日外国人,日本人の配偶者等,凶悪犯,不同意性交等,2.373035140887426
2022,外国人,来日外国人,日本人の配偶者等,凶悪犯,強盗,1.9335467934977246
