年,区分00,区分01,在留資格,罪種00,罪種01,検挙人員
2017,外国人,来日外国人,留学,凶悪犯,強盗,14.0
2017,外国人,来日外国人,留学,凶悪犯,殺人,4.0
2017,外国人,来日外国人,留学,知能犯,,125.0
2017,外国人,来日外国人,留学,窃盗犯,,655.0
2017,外国人,来日外国人,留学,粗暴犯,,180.0
2017,外国人,来日外国人,留学,風俗犯,,22.0
2017,外国人,来日外国人,短期滞在,その他の刑法犯,,97.0
2017,外国人,来日外国人,短期滞在,凶悪犯,不同意性交等,4.0
2017,外国人,来日外国人,短期滞在,凶悪犯,強盗,10.0
2017,外国人,来日外国人,短期滞在,凶悪犯,放火,1.0
2017,外国人,来日外国人,短期滞在,凶悪犯,殺人,3.0
2017,外国人,来日外国人,短期滞在,知能犯,,117.0
2017,外国人,来日外国人,短期滞在,窃盗犯,,309.0
2017,外国人,来日外国人,短期滞在,粗暴犯,,72.0
2017,外国人,来日外国人,短期滞在,風俗犯,,15.0
2017,外国人,永住者等,,その他の刑法犯,,613.0
2017,外国人,永住者等,,凶悪犯,不同意性交等,19.0
2017,外国人,永住者等,,凶悪犯,強盗,56.0
2017,外国人,永住者等,,凶悪犯,放火,6.0
2017,外国人,永住者等,,凶悪犯,殺人,24.0
2017,外国人,永住者等,,知能犯,,228.0
2017,外国人,永住者等,,窃盗犯,,2004.0
2017,外国人,永住者等,,粗暴犯,,1348.0
2017,外国人,永住者等,,風俗犯,,96.0
2017,日本人,,,その他の刑法犯,,30785.0
2017,日本人,,,凶悪犯,不同意性交等,852.0
2017,日本人,,,凶悪犯,強盗,1575.0
2017,日本人,,,凶悪犯,放火,568.0
2017,日本人,,,凶悪犯,殺人,815.0
2017,日本人,,,知能犯,,11593.0
2017,日本人,,,窃盗犯,,104334.0
2017,日本人,,,粗暴犯,,48655.0
2017,日本人,,,風俗犯,,5246.0
2018,外国人,来日外国人,その他,その他の刑法犯,,294.0
2018,外国人,来日外国人,その他,凶悪犯,不同意性交等,11.0
2018,外国人,来日外国人,その他,凶悪犯,強盗,30.0
2018,外国人,来日外国人,その他,凶悪犯,殺人,12.0
2018,外国人,来日外国人,その他,知能犯,,99.0
2018,外国人,来日外国人,その他,窃盗犯,,657.0
2018,外国人,来日外国人,その他,粗暴犯,,363.0
2018,外国人,来日外国人,その他,風俗犯,,64.0
2018,外国人,来日外国人,定住者,その他の刑法犯,,124.0
2018,外国人,来日外国人,定住者,凶悪犯,不同意性交等,6.0
2018,外国人,来日外国人,定住者,凶悪犯,強盗,24.0
2018,外国人,来日外国人,定住者,凶悪犯,放火,1.0
2018,外国人,来日外国人,定住者,凶悪犯,殺人,5.0
2018,外国人,来日外国人,定住者,知能犯,,50.0
2018,外国人,来日外国人,定住者,窃盗犯,,403.0
2018,外国人,来日外国人,定住者,粗暴犯,,347.0
2018,外国人,来日外国人,定住者,風俗犯,,17.0
2018,外国人,来日外国人,技能実習,その他の刑法犯,,101.0
2018,外国人,来日外国人,技能実習,凶悪犯,強盗,5.0
2018,外国人,来日外国人,技能実習,凶悪犯,殺人,7.0
2018,外国人,来日外国人,技能実習,知能犯,,26.0
2018,外国人,来日外国人,技能実習,窃盗犯,,477.0
2018,外国人,来日外国人,技能実習,粗暴犯,,65.0
2018,外国人,来日外国人,技能実習,風俗犯,,6.0
2018,外国人,来日外国人,日本人の配偶者等,その他の刑法犯,,90.0
2018,外国人,来日外国人,日本人の配偶者等,凶悪犯,不同意性交等,5.0
2018,外国人,来日外国人,日本人の配偶者等,凶悪犯,強盗,9.0
2018,外国人,来日外国人,日本人の配偶者等,凶悪犯,放火,3.0
2018,外国人,来日外国人,日本人の配偶者等,凶悪犯,殺人,4.0
2018,外国人,来日外国人,日本人の配偶者等,知能犯,,87.0
2018,外国人,来日外国人,日本人の配偶者等,窃盗犯,,249.0
2018,外国人,来日外国人,日本人の配偶者等,粗暴犯,,220.0
2018,外国人,来日外国人,日本人の配偶者等,風俗犯,,14.0
2018,外国人,来日外国人,留学,その他の刑法犯,,353.0
2018,外国人,来日外国人,留学,凶悪犯,不同意性交等,9.0
2018,外国人,来日外国人,留学,凶悪犯,強盗,19.0
2018,外国人,来日外国人,留学,凶悪犯,殺人,7.0
2018,外国人,来日外国人,留学,知能犯,,77.0
2018,外国人,来日外国人,留学,窃盗犯,,556.0
2018,外国人,来日外国人,留学,粗暴犯,,190.0
2018,外国人,来日外国人,留学,風俗犯,,37.0
2018,外国人,来日外国人,短期滞在,その他の刑法犯,,111.0
2018,外国人,来日外国人,短期滞在,凶悪犯,不同意性交等,3.0
2018,外国人,来日外国人,短期滞在,凶悪犯,強盗,8.0
2018,外国人,来日外国人,短期滞在,凶悪犯,殺人,3.0
2018,外国人,来日外国人,短期滞在,知能犯,,124.0
2018,外国人,来日外国人,短期滞在,窃盗犯,,352.0
2018,外国人,来日外国人,短期滞在,粗暴犯,,105.0
2018,外国人,来日外国人,短期滞在,風俗犯,,15.0
2018,外国人,永住者等,,その他の刑法犯,,542.0
2018,外国人,永住者等,,凶悪犯,不同意性交等,24.0
