年,在留資格,性別,年齢,人口
2018,研修,男,7歳,0
2018,家族滞在,男,7歳,2026
2018,特定活動,男,7歳,73
2018,永住者,男,7歳,3050
2018,日本人の配偶者等,男,7歳,83
2018,永住者の配偶者等,男,7歳,154
2018,定住者,男,7歳,1675
2018,特別永住者,男,7歳,565
2018,教授,女,7歳,0
2018,芸術,女,7歳,0
2018,宗教,女,7歳,0
2018,報道,女,7歳,0
2018,高度専門職1号イ,女,7歳,0
2018,高度専門職1号ロ,女,7歳,0
2018,高度専門職1号ハ,女,7歳,0
2018,高度専門職2号,女,7歳,0
2018,経営・管理,女,7歳,0
2018,法律・会計業務,女,7歳,0
2018,医療,女,7歳,0
2018,研究,女,7歳,0
2018,教育,女,7歳,0
2018,技術・人文知識・国際業務,女,7歳,0
2018,企業内転勤,女,7歳,0
2018,介護,女,7歳,0
2018,興行,女,7歳,0
2018,技能,女,7歳,0
2018,技能実習1号イ,女,7歳,0
2018,技能実習1号ロ,女,7歳,0
2018,技能実習2号イ,女,7歳,0
2018,技能実習2号ロ,女,7歳,0
2018,技能実習3号イ,女,7歳,0
2018,技能実習3号ロ,女,7歳,0
2018,文化活動,女,7歳,0
2018,留学,女,7歳,3
2018,研修,女,7歳,0
2018,家族滞在,女,7歳,1911
2018,特定活動,女,7歳,65
2018,永住者,女,7歳,2725
2018,日本人の配偶者等,女,7歳,62
2018,永住者の配偶者等,女,7歳,139
2018,定住者,女,7歳,1605
2018,特別永住者,女,7歳,534
2018,教授,男,8歳,0
2018,芸術,男,8歳,0
2018,宗教,男,8歳,0
2018,報道,男,8歳,0
2018,高度専門職1号イ,男,8歳,0
2018,高度専門職1号ロ,男,8歳,0
2018,高度専門職1号ハ,男,8歳,0
2018,高度専門職2号,男,8歳,0
2018,経営・管理,男,8歳,0
2018,法律・会計業務,男,8歳,0
2018,医療,男,8歳,0
2018,研究,男,8歳,0
2018,教育,男,8歳,0
2018,技術・人文知識・国際業務,男,8歳,0
2018,企業内転勤,男,8歳,0
2018,介護,男,8歳,0
2018,興行,男,8歳,0
2018,技能,男,8歳,0
2018,技能実習1号イ,男,8歳,0
2018,技能実習1号ロ,男,8歳,0
2018,技能実習2号イ,男,8歳,0
2018,技能実習2号ロ,男,8歳,0
2018,技能実習3号イ,男,8歳,0
2018,技能実習3号ロ,男,8歳,0
2018,文化活動,男,8歳,0
2018,留学,男,8歳,4
2018,研修,男,8歳,0
2018,家族滞在,男,8歳,1791
2018,特定活動,男,8歳,64
2018,永住者,男,8歳,2869
2018,日本人の配偶者等,男,8歳,99
2018,永住者の配偶者等,男,8歳,115
2018,定住者,男,8歳,1621
2018,特別永住者,男,8歳,614
2018,教授,女,8歳,0
2018,芸術,女,8歳,0
2018,宗教,女,8歳,0
2018,報道,女,8歳,0
2018,高度専門職1号イ,女,8歳,0
2018,高度専門職1号ロ,女,8歳,0
2018,高度専門職1号ハ,女,8歳,0
2018,高度専門職2号,女,8歳,0
2018,経営・管理,女,8歳,0
2018,法律・会計業務,女,8歳,0
2018,医療,女,8歳,0
2018,研究,女,8歳,0
2018,教育,女,8歳,0
2018,技術・人文知識・国際業務,女,8歳,0
2018,企業内転勤,女,8歳,0
2018,介護,女,8歳,0
2018,興行,女,8歳,0
2018,技能,女,8歳,0
2018,技能実習1号イ,女,8歳,0
2018,技能実習1号ロ,女,8歳,0
2018,技能実習2号イ,女,8歳,0
2018,技能実習2号ロ,女,8歳,0
2018,技能実習3号イ,女,8歳,0
2018,技能実習3号ロ,女,8歳,0
2018,文化活動,女,8歳,0
2018,留学,女,8歳,0
2018,研修,女,8歳,0
2018,家族滞在,女,8歳,1630
2018,特定活動,女,8歳,60
2018,永住者,女,8歳,2664
2018,日本人の配偶者等,女,8歳,81
2018,永住者の配偶者等,女,8歳,131
2018,定住者,女,8歳,1590
2018,特別永住者,女,8歳,550
2018,教授,男,9歳,0
2018,芸術,男,9歳,0
2018,宗教,男,9歳,0
2018,報道,男,9歳,0
2018,高度専門職1号イ,男,9歳,0
2018,高度専門職1号ロ,男,9歳,0
2018,高度専門職1号ハ,男,9歳,0
2018,高度専門職2号,男,9歳,0
2018,経営・管理,男,9歳,0
2018,法律・会計業務,男,9歳,0
2018,医療,男,9歳,0
2018,研究,男,9歳,0
2018,教育,男,9歳,0
2018,技術・人文知識・国際業務,男,9歳,0
2018,企業内転勤,男,9歳,0
2018,介護,男,9歳,0
2018,興行,男,9歳,0
2018,技能,男,9歳,0
2018,技能実習1号イ,男,9歳,0
2018,技能実習1号ロ,男,9歳,0
2018,技能実習2号イ,男,9歳,0
2018,技能実習2号ロ,男,9歳,0
2018,技能実習3号イ,男,9歳,0
2018,技能実習3号ロ,男,9歳,0
2018,文化活動,男,9歳,0
2018,留学,男,9歳,2
2018,研修,男,9歳,0
2018,家族滞在,男,9歳,1509
2018,特定活動,男,9歳,55
2018,永住者,男,9歳,2995
2018,日本人の配偶者等,男,9歳,68
2018,永住者の配偶者等,男,9歳,97
2018,定住者,男,9歳,1606
2018,特別永住者,男,9歳,581
2018,教授,女,9歳,0
2018,芸術,女,9歳,0
2018,宗教,女,9歳,0
2018,報道,女,9歳,0
2018,高度専門職1号イ,女,9歳,0
2018,高度専門職1号ロ,女,9歳,0
2018,高度専門職1号ハ,女,9歳,0
2018,高度専門職2号,女,9歳,0
2018,経営・管理,女,9歳,0
2018,法律・会計業務,女,9歳,0
2018,医療,女,9歳,0
2018,研究,女,9歳,0
2018,教育,女,9歳,0
2018,技術・人文知識・国際業務,女,9歳,0
2018,企業内転勤,女,9歳,0
2018,介護,女,9歳,0
2018,興行,女,9歳,0
2018,技能,女,9歳,0
2018,技能実習1号イ,女,9歳,0
2018,技能実習1号ロ,女,9歳,0
2018,技能実習2号イ,女,9歳,0
2018,技能実習2号ロ,女,9歳,0
2018,技能実習3号イ,女,9歳,0
2018,技能実習3号ロ,女,9歳,0
2018,文化活動,女,9歳,0
2018,留学,女,9歳,3
2018,研修,女,9歳,0
2018,家族滞在,女,9歳,1397
2018,特定活動,女,9歳,43
2018,永住者,女,9歳,2815
2018,日本人の配偶者等,女,9歳,84
2018,永住者の配偶者等,女,9歳,108
2018,定住者,女,9歳,1699
2018,特別永住者,女,9歳,610
2018,教授,男,10歳,0
2018,芸術,男,10歳,0
2018,宗教,男,10歳,0
2018,報道,男,10歳,0
2018,高度専門職1号イ,男,10歳,0
2018,高度専門職1号ロ,男,10歳,0
2018,高度専門職1号ハ,男,10歳,0
2018,高度専門職2号,男,10歳,0
2018,経営・管理,男,10歳,0
2018,法律・会計業務,男,10歳,0
2018,医療,男,10歳,0
2018,研究,男,10歳,0
2018,教育,男,10歳,0
2018,技術・人文知識・国際業務,男,10歳,0
2018,企業内転勤,男,10歳,0
2018,介護,男,10歳,0
2018,興行,男,10歳,0
2018,技能,男,10歳,0
2018,技能実習1号イ,男,10歳,0
2018,技能実習1号ロ,男,10歳,0
2018,技能実習2号イ,男,10歳,0
2018,技能実習2号ロ,男,10歳,0
2018,技能実習3号イ,男,10歳,0
2018,技能実習3号ロ,男,10歳,0
2018,文化活動,男,10歳,0
2018,留学,男,10歳,2
2018,研修,男,10歳,0
2018,家族滞在,男,10歳,1437
2018,特定活動,男,10歳,45
2018,永住者,男,10歳,3010
2018,日本人の配偶者等,男,10歳,106
2018,永住者の配偶者等,男,10歳,87
2018,定住者,男,10歳,1585
2018,特別永住者,男,10歳,618
2018,教授,女,10歳,0
2018,芸術,女,10歳,0
2018,宗教,女,10歳,0
2018,報道,女,10歳,0
2018,高度専門職1号イ,女,10歳,0
2018,高度専門職1号ロ,女,10歳,0
2018,高度専門職1号ハ,女,10歳,0
2018,高度専門職2号,女,10歳,0
2018,経営・管理,女,10歳,0
2018,法律・会計業務,女,10歳,0
2018,医療,女,10歳,0
2018,研究,女,10歳,0
2018,教育,女,10歳,0
2018,技術・人文知識・国際業務,女,10歳,0
2018,企業内転勤,女,10歳,0
2018,介護,女,10歳,0
2018,興行,女,10歳,0
2018,技能,女,10歳,0
2018,技能実習1号イ,女,10歳,0
2018,技能実習1号ロ,女,10歳,0
2018,技能実習2号イ,女,10歳,0
2018,技能実習2号ロ,女,10歳,0
2018,技能実習3号イ,女,10歳,0
2018,技能実習3号ロ,女,10歳,0
2018,文化活動,女,10歳,0
2018,留学,女,10歳,6
2018,研修,女,10歳,0
2018,家族滞在,女,10歳,1307
2018,特定活動,女,10歳,39
2018,永住者,女,10歳,2859
2018,日本人の配偶者等,女,10歳,81
2018,永住者の配偶者等,女,10歳,71
2018,定住者,女,10歳,1633
2018,特別永住者,女,10歳,646
2018,教授,男,11歳,0
2018,芸術,男,11歳,0
2018,宗教,男,11歳,0
2018,報道,男,11歳,0
2018,高度専門職1号イ,男,11歳,0
2018,高度専門職1号ロ,男,11歳,0
2018,高度専門職1号ハ,男,11歳,0
2018,高度専門職2号,男,11歳,0
2018,経営・管理,男,11歳,0
2018,法律・会計業務,男,11歳,0
2018,医療,男,11歳,0
2018,研究,男,11歳,0
2018,教育,男,11歳,0
2018,技術・人文知識・国際業務,男,11歳,0
2018,企業内転勤,男,11歳,0
2018,介護,男,11歳,0
2018,興行,男,11歳,0
2018,技能,男,11歳,0
2018,技能実習1号イ,男,11歳,0
2018,技能実習1号ロ,男,11歳,0
2018,技能実習2号イ,男,11歳,0
2018,技能実習2号ロ,男,11歳,0
2018,技能実習3号イ,男,11歳,0
2018,技能実習3号ロ,男,11歳,0
2018,文化活動,男,11歳,1
2018,留学,男,11歳,3
2018,研修,男,11歳,0
2018,家族滞在,男,11歳,1276
2018,特定活動,男,11歳,36
2018,永住者,男,11歳,2861
2018,日本人の配偶者等,男,11歳,105
2018,永住者の配偶者等,男,11歳,60
2018,定住者,男,11歳,1579
2018,特別永住者,男,11歳,609
