年,区分,性別,年齢,人口_千人
2013,日本人,男,78歳,527.5630162473811
2013,日本人,男,79歳,476.99620540153535
2013,日本人,男,80歳,452.9963963247286
2013,日本人,男,81歳,419.99665884411917
2013,日本人,男,82歳,377.9969929597072
2013,日本人,男,83歳,333.99734298556143
2013,日本人,男,84歳,297.99762937035126
2013,日本人,男,85歳,263.9978998448749
2013,日本人,男,86歳,229.99817031939855
2013,日本人,男,87歳,197.99842488365618
2013,日本人,男,88歳,155.99875899924427
2013,日本人,男,89歳,118.99905333916708
2013,日本人,男,90歳,88.9992919931586
2013,日本人,男,91歳,69.2373802375293
2013,日本人,男,92歳,53.22320529093549
2013,日本人,男,93歳,42.99965792927887
2013,日本人,男,94歳,27.202791115252825
2013,日本人,男,95歳,21.190740514407832
2013,日本人,男,96歳,15.999872717871206
2013,日本人,男,97歳,11.823435354015118
2013,日本人,男,98歳,6.999944314068651
2013,日本人,男,99歳,4.999960224334752
2013,日本人,男,100歳以上,6.999944314068652
2013,日本人,女,0歳,502.5081266005027
2013,日本人,女,1歳,502.995998568076
2013,日本人,女,2歳,514.5091394929574
2013,日本人,女,3歳,504.99598265781003
2013,日本人,女,4歳,505.4843733567054
2013,日本人,女,5歳,519.4841082297722
2013,日本人,女,6歳,517.4840797242551
2013,日本人,女,7歳,513.9959110616126
2013,日本人,女,8歳,512.5078163345222
2013,日本人,女,9歳,532.9957599140846
2013,日本人,女,10歳,540.9956962730201
2013,日本人,女,11歳,556.9955689908913
2013,日本人,女,12歳,563.9955133049601
2013,日本人,女,13歳,567.9954814844278
2013,日本人,女,14歳,570.9954576190287
2013,日本人,女,15歳,580.4835976272276
2013,日本人,女,16歳,577.9954019330974
2013,日本人,女,17歳,572.9954417087627
2013,日本人,女,18歳,589.9953064715008
2013,日本人,女,19歳,590.9952985163677
2013,日本人,女,20歳,576.9954098882304
2013,日本人,女,21歳,583.5099050300611
2013,日本人,女,22歳,578.9953939779642
2013,日本人,女,23歳,584.995346247166
2013,日本人,女,24歳,597.9952428304364
2013,日本人,女,25歳,613.9951155483076
2013,日本人,女,26歳,630.5062158026716
2013,日本人,女,27歳,644.4834921271646
