年,区分,性別,年齢,人口_千人
2021,日本人,男,10歳,533.5168453074223
2021,日本人,男,11歳,538.4915409149618
2021,日本人,男,12歳,541.4916382630958
2021,日本人,男,13歳,551.0044877381312
2021,日本人,男,14歳,549.0044714487004
2021,日本人,男,15歳,544.4922166528563
2021,日本人,男,16歳,546.0044470145546
2021,日本人,男,17歳,568.0046261982912
2021,日本人,男,18歳,575.0046832112984
2021,日本人,男,19歳,593.0048298161738
2021,日本人,男,20歳,598.492908702684
2021,日本人,男,21歳,601.0048949738963
2021,日本人,男,22歳,597.4950624659739
2021,日本人,男,23歳,606.0049356974727
2021,日本人,男,24歳,603.0049112633268
2021,日本人,男,25歳,605.0049275527574
2021,日本人,男,26歳,612.4954291255168
2021,日本人,男,27歳,613.0049927104799
2021,日本人,男,28歳,599.0048786844657
2021,日本人,男,29歳,607.0049438421879
2021,日本人,男,30歳,603.0049112633267
2021,日本人,男,31歳,613.0049927104798
2021,日本人,男,32歳,627.005106736494
2021,日本人,男,33歳,650.4951099665502
2021,日本人,男,34歳,669.0054488145366
2021,日本人,男,35歳,682.0055546958356
2021,日本人,男,36歳,707.5143955499151
2021,日本人,男,37歳,732.0059619316006
2021,日本人,男,38歳,741.5142698261055
2021,日本人,男,39歳,741.5142698261055
2021,日本人,男,40歳,752.0061248259067
2021,日本人,男,41歳,786.5151437538296
2021,日本人,男,42歳,807.0065727852483
2021,日本人,男,43歳,839.0068334161381
2021,日本人,男,44歳,862.5155794588935
2021,日本人,男,45歳,905.0073709673478
2021,日本人,男,46歳,942.007672321814
2021,日本人,男,47歳,997.0081202811556
2021,日本人,男,48歳,1011.0082343071698
2021,日本人,男,49歳,994.0080958470096
2021,日本人,男,50歳,963.0078433608354
2021,日本人,男,51歳,931.5010650100552
2021,日本人,男,52歳,915.0074524145008
2021,日本人,男,53歳,892.007265086049
2021,日本人,男,54歳,889.0072406519031
2021,日本人,男,55歳,688.0056035641275
2021,日本人,男,56歳,850.0069230080063
2021,日本人,男,57歳,795.0064750486646
2021,日本人,男,58歳,772.5056441189015
2021,日本人,男,59歳,747.0060841023302
2021,日本人,男,60歳,730.5045835831825
2021,日本人,男,61歳,731.0059537868854
2021,日本人,男,62歳,742.510383710578
2021,日本人,男,63歳,717.0058397608713
2021,日本人,男,64歳,694.0056524324192
2021,日本人,男,65歳,725.4967687675568
2021,日本人,男,66歳,744.4958595758
2021,日本人,男,67歳,738.0060107998926
2021,日本人,男,68歳,775.0063121543586
2021,日本人,男,69歳,811.0066053641095
2021,日本人,男,70歳,849.006914863291
2021,日本人,男,71歳,897.0073058096254
2021,日本人,男,72歳,970.0079003738424
2021,日本人,男,73歳,944.0076886112448
2021,日本人,男,74歳,881.0071754941806
2021,日本人,男,75歳,531.0043248438251
2021,日本人,男,76歳,552.0044958828463
