年,在留資格,性別,年齢,人口
2024,定住者,女,29歳,2003
2024,定住者,女,30歳,2043
2024,定住者,女,31歳,1941
2024,定住者,女,32歳,2020
2024,定住者,女,33歳,2092
2024,定住者,女,34歳,2154
2024,定住者,女,35歳,2292
2024,定住者,女,36歳,2217
2024,定住者,女,37歳,2270
2024,定住者,女,38歳,2268
2024,定住者,女,39歳,2461
2024,定住者,女,40歳,2399
2024,定住者,女,41歳,2521
2024,定住者,女,42歳,2559
2024,定住者,女,43歳,2250
2024,定住者,女,44歳,2333
2024,定住者,女,45歳,2158
2024,定住者,女,46歳,2018
2024,定住者,女,47歳,1896
2024,定住者,女,48歳,1767
2024,定住者,女,49歳,1653
2024,定住者,女,50歳,1701
2024,定住者,女,51歳,1574
2024,定住者,女,52歳,1581
2024,定住者,女,53歳,1597
2024,定住者,女,54歳,1553
2024,定住者,女,55歳,1396
2024,定住者,女,56歳,1242
2024,定住者,女,57歳,1104
2024,定住者,女,58歳,1006
2024,定住者,女,59歳,916
2024,定住者,女,60歳,878
2024,定住者,女,61歳,745
2024,定住者,女,62歳,700
2024,定住者,女,63歳,558
2024,定住者,女,64歳,481
2024,定住者,女,65歳,450
2024,定住者,女,66歳,399
2024,定住者,女,67歳,384
2024,定住者,女,68歳,331
2024,定住者,女,69歳,282
2024,定住者,女,70歳,235
2024,定住者,女,71歳,193
2024,定住者,女,72歳,181
2024,定住者,女,73歳,143
2024,定住者,女,74歳,132
2024,定住者,女,75歳,109
2024,定住者,女,76歳,95
2024,定住者,女,77歳,81
2024,定住者,女,78歳,74
2024,定住者,女,79歳,59
2024,定住者,女,80歳以上,421
2024,定住者,男,00歳,1133
2024,定住者,男,01歳,1378
2024,定住者,男,02歳,1445
2024,定住者,男,03歳,1548
2024,定住者,男,04歳,1759
2024,定住者,男,05歳,1860
2024,定住者,男,06歳,1862
2024,定住者,男,07歳,1924
2024,定住者,男,08歳,1884
2024,定住者,男,09歳,2054
2024,定住者,男,10歳,2012
2024,定住者,男,11歳,2112
2024,定住者,男,12歳,2071
2024,定住者,男,13歳,2010
2024,定住者,男,14歳,1906
2024,定住者,男,15歳,1955
2024,定住者,男,16歳,2016
2024,定住者,男,17歳,2008
2024,定住者,男,18歳,2020
2024,定住者,男,19歳,1878
2024,定住者,男,20歳,1688
2024,定住者,男,21歳,1709
2024,定住者,男,22歳,1807
2024,定住者,男,23歳,1990
2024,定住者,男,24歳,1962
2024,定住者,男,25歳,1971
2024,定住者,男,26歳,1925
2024,定住者,男,27歳,2016
2024,定住者,男,28歳,1973
2024,定住者,男,29歳,1989
2024,定住者,男,30歳,1821
2024,定住者,男,31歳,1821
2024,定住者,男,32歳,1876
2024,定住者,男,33歳,1986
2024,定住者,男,34歳,2028
2024,定住者,男,35歳,2045
2024,定住者,男,36歳,2133
2024,定住者,男,37歳,2129
2024,定住者,男,38歳,1981
2024,定住者,男,39歳,1947
2024,定住者,男,40歳,1920
2024,定住者,男,41歳,1871
2024,定住者,男,42歳,1796
