年,在留資格,年代,人数
2020,技能実習,20代,8697.467143943422
2020,技能実習,30代,2825.227753452842
2020,技能実習,40代,389.9900676404371
2020,技能実習,50代,20.164978554849586
2020,技能実習,60代,0.0
2020,技能実習,70代以上,0.0
2020,日本人の配偶者等,0~13歳,34.57835683331124
2020,日本人の配偶者等,10代(14歳以上),20.26104800395093
2020,日本人の配偶者等,20代,344.7368721262668
2020,日本人の配偶者等,30代,933.4100334587746
2020,日本人の配偶者等,40代,672.072419813716
2020,日本人の配偶者等,50代,431.537893279725
2020,日本人の配偶者等,60代,188.98473834681639
2020,日本人の配偶者等,70代以上,61.418638137438165
2020,留学,0~13歳,1.5821716683371125
2020,留学,10代(14歳以上),488.0801825363127
2020,留学,20代,4576.214002062275
2020,留学,30代,448.9016565991011
2020,留学,40代,24.385220838253883
2020,留学,50代,3.0852347532579794
2020,留学,60代,0.7119772507517561
2020,留学,70代以上,0.039554291708441415
2020,短期滞在,0~13歳,4559.256594951259
2020,短期滞在,10代(14歳以上),2743.155957631502
2020,短期滞在,20代,12729.413540682619
2020,短期滞在,30代,12554.18590276828
2020,短期滞在,40代,8637.521056208165
2020,短期滞在,50代,6036.134131304452
2020,短期滞在,60代,3085.6123832406515
2020,短期滞在,70代以上,893.7204332130608
2021,その他,0~13歳,938.0564613172885
2021,その他,10代(14歳以上),145.55885203130765
2021,その他,20代,3113.836835099302
2021,その他,30代,3156.7987221127732
2021,その他,40代,969.3542196901117
2021,その他,50代,317.276140780576
2021,その他,60代,81.5423246898461
2021,その他,70代以上,37.656780789094505
2021,定住者,0~13歳,534.2289334966189
2021,定住者,10代(14歳以上),226.3433044033864
2021,定住者,20代,419.5060113944943
2021,定住者,30代,502.32724562057393
2021,定住者,40代,381.1742505723868
2021,定住者,50代,206.67414940631474
2021,定住者,60代,65.1888610830093
2021,定住者,70代以上,24.476907512911904
2021,技能実習,10代(14歳以上),146.4140026658827
2021,技能実習,20代,6527.82317059395
2021,技能実習,30代,2187.9865745656643
2021,技能実習,40代,303.9569222601262
2021,技能実習,50代,19.793388383073705
2021,技能実習,60代,0.02594153130153853
2021,日本人の配偶者等,0~13歳,28.350628072091553
2021,日本人の配偶者等,10代(14歳以上),18.414577230524788
2021,日本人の配偶者等,20代,311.2525693858297
2021,日本人の配偶者等,30代,867.9558115287224
2021,日本人の配偶者等,40代,628.5840822203467
2021,日本人の配偶者等,50代,410.5953031130529
2021,日本人の配偶者等,60代,179.80874832431357
2021,日本人の配偶者等,70代以上,61.03828012511769
2021,留学,0~13歳,1.1585470760692418
2021,留学,10代(14歳以上),245.2469584452518
2021,留学,20代,3050.8829550043015
2021,留学,30代,300.36523235195983
2021,留学,40代,15.902248907146863
2021,留学,50代,1.8727199311806655
2021,留学,60代,0.49198574463215355
2021,留学,70代以上,0.07935253945682132
2021,短期滞在,0~13歳,2587.022679040205
2021,短期滞在,10代(14歳以上),2013.374246642063
2021,短期滞在,20代,12994.215440120755
2021,短期滞在,30代,11912.050356961821
2021,短期滞在,40代,8275.481611014984
2021,短期滞在,50代,6057.096315972802
2021,短期滞在,60代,2491.848464681874
2021,短期滞在,70代以上,567.9108855654849
2022,その他,0~13歳,783.571201805385
2022,その他,10代(14歳以上),123.71704788861638
2022,その他,20代,2789.270941707466
2022,その他,30代,2685.9685970012233
2022,その他,40代,816.3549189106484
2022,その他,50代,268.3959417074659
2022,その他,60代,67.05638004895921
2022,その他,70代以上,30.361937729497647
2022,定住者,0~13歳,405.86331471848206
2022,定住者,10代(14歳以上),178.05460143818837
2022,定住者,20代,316.91225520195826
2022,定住者,30代,371.0255699204405
2022,定住者,40代,300.37239902080773
2022,定住者,50代,167.4346503977968
2022,定住者,60代,55.57535189718473
2022,定住者,70代以上,20.06489060587503
2022,技能実習,10代(14歳以上),144.56718107717987
2022,技能実習,20代,4323.125826622194
2022,技能実習,30代,1415.084928087302
2022,技能実習,40代,194.78916899865422
2022,技能実習,50代,15.395707515357095
2022,技能実習,60代,0.03718769931245785
2022,日本人の配偶者等,0~13歳,20.85551484417439
2022,日本人の配偶者等,10代(14歳以上),14.139567282909862
2022,日本人の配偶者等,20代,229.6604299307596
2022,日本人の配偶者等,30代,675.4800150461834
2022,日本人の配偶者等,40代,511.0919349670515
2022,日本人の配偶者等,50代,333.2025801418241
2022,日本人の配偶者等,60代,153.93950876997445
2022,日本人の配偶者等,70代以上,53.63044901712197
2022,留学,0~13歳,0.7062243305324718
2022,留学,10代(14歳以上),195.5711727327461
2022,留学,20代,1902.2505455061416
2022,留学,30代,188.34120114891837
2022,留学,40代,12.685554537192136
2022,留学,50代,1.9950837337545955
2022,留学,60代,0.414906794187761
2022,留学,70代以上,0.03531121652663105
2022,短期滞在,0~13歳,1939.1150401603115
2022,短期滞在,10代(14歳以上),1126.6565713458467
2022,短期滞在,20代,9862.866811307076
2022,短期滞在,30代,9432.845648262864
2022,短期滞在,40代,5813.422339581625
2022,短期滞在,50代,4983.655141194227
2022,短期滞在,60代,3819.6145197273822
2022,短期滞在,70代以上,1495.8239284206554
2023,その他,0~13歳,1214.6713804590208
2023,その他,10代(14歳以上),207.1977865670682
2023,その他,20代,4395.706472364207
2023,その他,30代,4252.876361600793
2023,その他,40代,1253.468170430664
2023,その他,50代,421.22573895807056
2023,その他,60代,119.45549733415197
2023,その他,70代以上,47.400868120875224
2023,定住者,0~13歳,570.6205320681646
2023,定住者,10代(14歳以上),258.79812060089364
2023,定住者,20代,438.7235135953599
2023,定住者,30代,498.66244230116246
2023,定住者,40代,428.76788319828177
2023,定住者,50代,242.78463995007834
2023,定住者,60代,85.26846592212583
2023,定住者,70代以上,29.372126529076485
2023,技能実習,10代(14歳以上),642.0881480013066
2023,技能実習,20代,7433.633620822036
2023,技能実習,30代,2420.0869948821605
2023,技能実習,40代,370.6639928076636
2023,技能実習,50代,46.37489494889041
2023,技能実習,60代,0.15234853793985353
