調査年度,能力項目,在留資格,回答者数,選択肢順,選択肢,割合,割合_pct,出典ファイル,出典ページ,出典表
2024,読む,技能実習,968,2,新聞記事などを読むことができる,0.011,1.1,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,技能実習,968,3,日常生活のEメールなどを読むことができる,0.105,10.5,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,技能実習,968,4,簡単で短い文章を読むことができる,0.553,55.3,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,技能実習,968,5,掲示等の名前や言葉なら読むことができる,0.163,16.3,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,技能実習,968,6,全く分からない,0.144,14.4,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,留学,611,1,どんな内容の文章でも容易に読むことができる,0.154,15.4,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,留学,611,2,新聞記事などを読むことができる,0.313,31.3,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,留学,611,3,日常生活のEメールなどを読むことができる,0.267,26.7,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,留学,611,4,簡単で短い文章を読むことができる,0.185,18.5,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,留学,611,5,掲示等の名前や言葉なら読むことができる,0.047,4.7,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,留学,611,6,全く分からない,0.034,3.4,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,家族滞在,634,1,どんな内容の文章でも容易に読むことができる,0.038,3.8,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,家族滞在,634,2,新聞記事などを読むことができる,0.065,6.5,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,家族滞在,634,3,日常生活のEメールなどを読むことができる,0.202,20.2,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,家族滞在,634,4,簡単で短い文章を読むことができる,0.325,32.5,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,家族滞在,634,5,掲示等の名前や言葉なら読むことができる,0.189,18.9,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,家族滞在,634,6,全く分からない,0.181,18.1,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,特定活動,118,1,どんな内容の文章でも容易に読むことができる,0.119,11.9,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,特定活動,118,2,新聞記事などを読むことができる,0.093,9.3,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,特定活動,118,3,日常生活のEメールなどを読むことができる,0.229,22.9,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,特定活動,118,4,簡単で短い文章を読むことができる,0.212,21.2,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,特定活動,118,5,掲示等の名前や言葉なら読むことができる,0.11,11.0,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,特定活動,118,6,全く分からない,0.237,23.7,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,永住者,2088,1,どんな内容の文章でも容易に読むことができる,0.227,22.7,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,永住者,2088,2,新聞記事などを読むことができる,0.152,15.2,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
2024,読む,永住者,2088,3,日常生活のEメールなどを読むことができる,0.196,19.6,001436052.pdf,78,図表．【在留資格別】日本語能力（読む）（単一回答）
